Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat No
,,,,,,,,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Plas Ffynnon Medical Practice,,44966.24,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Shawbury Medical Practice,,47294.00,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Clive Surgery,,50958.68,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Much Wenlock & Cressage Surgery,,40802.56,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Knockin Medical Practice,,43729.73,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Baschurch Medical Practice,,80345.98,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Brown Clee Medical Practice,,38510.05,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Willow Street Medical Practice,,48489.78,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Pontesbury Medical Practice,,79688.77,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Wem & Prees Medical Practice,,55554.55,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Craven Arms Medical Practice,,33105.37,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,Worthen Medical Practice,,26214.82,
Department of Health,Shropshire County PCT,01/08/2011,Dispensing drugs,GP Practice Payments,The Meadows Medical Practice,,37086.96,
Department of Health,Shropshire County PCT,05/08/2011,Expenditure on Drugs Action Team,MI HMP StokHth,MINISTRY OF JUSTICE,353419,51432.25,
Department of Health,Shropshire County PCT,05/08/2011,Expenditure on Drugs Action Team,Ministry of Justice Programmes,MINISTRY OF JUSTICE,353423,49065.46
Department of Health,Shropshire County PCT,05/08/2011,Expenditure on Drugs Action Team,MI HMP StokHth,MINISTRY OF JUSTICE,353424,49065.46
Department of Health,Shropshire County PCT,05/08/2011,Community Health Services,Community Services - Other,NURSING HOMES,AUG 11,31416.67
Department of Health,Shropshire County PCT,05/08/2011,Other re Patients Welfare,SCB1 Bridgnorth Hospital Patient Welfare,OSTEOTEC LTD,9294,10519.2
Department of Health,Shropshire County PCT,05/08/2011,Other re Patients Welfare,SCB1 Bridgnorth Hospital Patient Welfare,OSTEOTEC LTD,9294,8910
Department of Health,Shropshire County PCT,05/08/2011,Other re Patients Welfare,SCB1 Bridgnorth Hospital Patient Welfare,OSTEOTEC LTD,9294,8575.2
Department of Health,Shropshire County PCT,05/08/2011,Other re Patients Welfare,SCB1 Bridgnorth Hospital Patient Welfare,OSTEOTEC LTD,9294,10951.2
Department of Health,Shropshire County PCT,05/08/2011,Other re Patients Welfare,SCB1 Bridgnorth Hospital Patient Welfare,OSTEOTEC LTD,9294,6627.6
Department of Health,Shropshire County PCT,05/08/2011,Other re Patients Welfare,SCB1 Bridgnorth Hospital Patient Welfare,OSTEOTEC LTD,9294,1044
Department of Health,Shropshire County PCT,05/08/2011,Other re Patients Welfare,SCB1 Bridgnorth Hospital Patient Welfare,OSTEOTEC LTD,9294,2096.1
Department of Health,Shropshire County PCT,05/08/2011,Other re Patients Welfare,SCB1 Bridgnorth Hospital Patient Welfare,OSTEOTEC LTD,9294,9763.86
Department of Health,Shropshire County PCT,05/08/2011,General And Acute,Patient First Transport Services,PATIENT FIRST (SHROPSHIRE) LTD,AUG 11 COMM,25000
Department of Health,Shropshire County PCT,05/08/2011,Miscellaneous Expenditure,APMS Exceptions,SHROPSHIRE DOCTORS CO-OP LTD,1078,76524.97
Department of Health,Shropshire County PCT,05/08/2011,Out of Hours Medical Provision,APMS Exceptions,SHROPSHIRE DOCTORS CO-OP LTD,AUG 11 OOH,286447.67
Department of Health,Shropshire County PCT,05/08/2011,Non-NHS Trade Payables < 1 Year,Payables,SHROPSHIRE COUNCIL,EFX003576,37642.44
Department of Health,Shropshire County PCT,05/08/2011,Community Health Services,Childrens Special Placements,SHROPSHIRE COUNCIL,EFX003576,15781.31
Department of Health,Shropshire County PCT,05/08/2011,Mental Illness,MH Shropshire Path,SHROPSHIRE COUNCIL,SFF005248,54262.5,,
Department of Health,Shropshire County PCT,05/08/2011,APMS Total Expenditure,GP Led Health Centre,MALLING HEALTH LLP,AUG 11 CS,52139.22,,
Department of Health,Shropshire County PCT,05/08/2011,Community Health Services,IDTS Clinical Service Model Dana,CRI,10760,41750,,
Department of Health,Shropshire County PCT,08/08/2011,Contract : Other External,Bowel Screening,COVENTRY TEACHING PRIMARY CARE TRUST,B/CANSER SH 11/12,145245.31,,
Department of Health,Shropshire County PCT,08/08/2011,General And Acute,NHS Contract - Gen & Acute,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,OP/M182619,166672,,
Department of Health,Shropshire County PCT,08/08/2011,Learning Difficulties,LD Commissioning Contracts,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0042630,196713,,
Department of Health,Shropshire County PCT,08/08/2011,Mental Illness,NHS Contract - Ment Illness,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0042630,2051922,,
Department of Health,Shropshire County PCT,08/08/2011,Mental Illness,DAT NHS Contracts,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0042630,32391,,
Department of Health,Shropshire County PCT,08/08/2011,Mental Illness,MI HMP Dana,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0042630,36442,,
Department of Health,Shropshire County PCT,08/08/2011,General And Acute Tier 1,Bl Cont Spec Ser - Gen & Acute,BIRMINGHAM EAST AND NORTH PCT,AUG 11,1204577,,
Department of Health,Shropshire County PCT,08/08/2011,General And Acute Tier 2,Bl Cont Spec Ser - Gen & Acute,BIRMINGHAM EAST AND NORTH PCT,AUG 11,1031844,,
Department of Health,Shropshire County PCT,08/08/2011,General And Acute Ambulances,Bl Cont Spec Ser - Gen & Acute,BIRMINGHAM EAST AND NORTH PCT,AUG 11,715864,,
Department of Health,Shropshire County PCT,08/08/2011,Utilisation - Early Retirement Provision - Staff,Provisions,NHS BUSINESS SERVICES AUTHORITY,827335,30087.44,,
Department of Health,Shropshire County PCT,08/08/2011,Dental Officer,Dental Management,NHS BUSINESS SERVICES AUTHORITY,827335,2562.18,,
Department of Health,Shropshire County PCT,08/08/2011,Recharges to Other Organisations,Receivables,NHS BUSINESS SERVICES AUTHORITY,827335,4790.37,,
Department of Health,Shropshire County PCT,11/08/2011,Additions - Assets Under Construction Oswestry PCC Equipment,Balance Sheet Suspense,WRIGHT COTTRELL & COMPANY,91318942,67500,,
Department of Health,Shropshire County PCT,11/08/2011,Additions - Assets Under Construction Oswestry PCC Equipment,Balance Sheet Suspense,WRIGHT COTTRELL & COMPANY,91318942,13500
Department of Health,Shropshire County PCT,11/08/2011,Community Health Services,NHS Funded Nursing Care,SHROPSHIRE COUNCIL,FNC-1/8-28/8/11,160000
Department of Health,Shropshire County PCT,11/08/2011,Non-NHS Trade Payables < 1 Year,Payables,SHROPSHIRE COUNCIL,SFF005268,28199.73
