Title:,"Drinking water quality, Northern Ireland : 1995 to 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year:,1995 to 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography:,Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units:,Total number of determinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,Department of the Environment (Northern Ireland) (DoE(NI)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date:,April 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,2004 was the first full year of reporting under the Water Supply (Water Quality) Regulations (Northern Ireland) 2002 therefore direct comparisons with previous years' data can not be made as some of the standards have changed and may have been added or removed from the Regulations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a.,1995 data covers the 15 month period October 1994 - December 1995. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996 data covers the 15 month period October 1995 - December 1996. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b.,Prescribed concentration value (PCV): the numerical value assigned to water quality standards defining the maximum or minimum legal concentration  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"or value of a parameter.  A relaxation of the standards may be granted, subject to the completion of improvement works, in emergencies ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,or as a result of exceptional meteorological conditions or by reason of the nature and structure of the ground in the area from which the supply emanates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c.,Assessed against the absolute PCV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d.,Assessed against three monthly average.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e.,Authorised Departure (AD) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f.,From 1 January 2004 Coliform bacteria no longer schedule 1 in zones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004 onwards was reporting under the Water Supply (Water Quality) Regulations (Northern Ireland) 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,therefore direct comparisons with previous years' data can not be made as some of the standards have changed and may have been added or removed from the Regulations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,,,Total number of determinations,,,,,,,,,,,,,,Percentage of determinations exceeding PCV b. or relaxed PCV b.,,,,,,,,,,Schedule 1 Parameters,,Schedule 1 Parameters,,,,,,,
,,,1995 a.,1996 a.,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1995 a.,1996 a.,1997,1998,1999,2000,2001,2002,2003,,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008
,,,,,,,,,,,,Schedule 1 Parameters,,,,,,,,,,,,,,,exc Ad e.,inc AD e.,exc AD e.,inc AD e.,exc AD e.,inc AD e.,exc AD e.,inc AD e.,exc AD e.,inc AD e.
,Coliforms,,"6,736","5,357","5,604","5,566","5,605","5,809","6,019","5,089","4,656","5,054","5,094","5,052","5,568","5,823",1.4,1.1,0.9,0.8,0.3,0.5,0.6,0.8,0.6,,0.7,,0.47,,g.,g.,g.,,g.,
,Faecal coliforms,,"6,736","5,357","5,604","5,566","5,605","5,809","6,019","5,089","4,656","5,054","5,094","5,052","5,568","5,823",0.3,0.3,0.4,0.2,0.1,0.2,0.1,0.2,0.2,,0.1,,0.04,,0.08,0.08,0.05,0.05,0.22,0.22
,Colour,,"1,382",999,893,829,856,840,879,851,764,"1,965","1,969","1,928","2,012","2,124",0.4,0,0,0,0.1,0.1,0,0,0,,1,,0.91,,0.36,0.36,0.1,0.1,0.14,0.14
,Turbidity,,"1,491","1,103",963,966,974,"1,024","1,105","1,051",973,"1,966","1,971","1,928","2,012","2,124",0.7,0.5,0.8,0,0.8,0.3,0.3,0.3,0.2,,0.3,,0.05,,0.05,0.05,0.25,0.25,0.09,0.09
,Odour,,"1,329",888,818,790,802,776,782,"2,798",642,"1,959","1,969","1,928","2,012","2,124",0.2,0,0.4,0,0.1,0,0,0,0,,0,,0,,0,0,0,0,0,0
,Taste,,"1,325",887,820,790,800,776,782,"2,783",643,"1,959","1,969","1,928","2,012","2,124",0.2,0,0.4,0,0.1,0,0,0,0,,0,,0,,0.1,0.1,0,0,0,0
,Hydrogen ion,,"3,587","3,334","3,439","3,366","3,430","3,374","3,328","2,934","2,601","1,962","1,970","1,928","2,012","2,124",2.1,1.1,0.6,0.4,0.5,0.1,0.6,0.2,0,,1,,0.41,,0.21,0.21,0.05,0.05,0.05,0.05
,Nitrate,,"1,216",851,809,746,777,732,742,729,662,543,525,496,492,492,0,0.1,0.1,1.9,0,0,0,0.1,0,,0.2,,0,,0,0,0,0,0,0
,Nitrite,,"1,241",859,783,718,871,836,816,726,663,543,525,496,492,492,0,0,0,0.3,0.2,0,0,0.1,0,,0,,0,,0,0,0,0,0,0
,Aluminium,,"2,057","1,700","1,812","1,740","1,658","1,582","1,617","1,472","1,325","2,314","2,298","2,016","2,012","2,124",3.9,9.9,5.2,5.2,6.2,4,1.9,2.4,1.5,,11,0.5,4.18,0.13,1.79,0.05,1.49,1.49,1.27,1.27
,Iron,,"2,266","2,176","2,294","2,186","2,371","2,326","2,411","2,129","1,847","1,962","1,971","1,928","2,012","2,124",6.6,4.5,3.9,4.1,5.6,4,2.9,2.6,3.3,,2.3,,2.08,,2.33,2.33,1.69,1.69,1.93,1.93
,Manganese,,"1,570","1,025",885,932,957,935,940,922,811,"1,962","1,971","1,928","2,012","2,124",0.2,0.2,1,0.1,0.1,0,0.2,0.1,0.3,,1.1,,0.56,,0.41,0.41,1.14,1.14,0.47,0.47
,Lead,,889,625,674,730,878,827,905,647,653,492,506,480,464,468,3.1,2.6,4.2,5.9,8,3.1,2.7,5.4,6.4,,5.1,,1.38,,0.63,0.63,0.86,0.86,1.28,1.28
,Polycyclic aromatic hydrocarbons,,787,686,727,676,679,570,571,513,514,511,506,480,464,467,4.7,3.1,3.2,2.5,1.5,2.5,1.6,0.6,2,,0,,0,,0,0,0,0,0,0
,Trihalomethanes,c.,"1,483","1,121","1,220","1,243","1,181","1,265","1,197","1,016","1,038","1,057",952,704,752,765,38.2,38,41.6,53.8,51.7,55.4,53.6,49.9,35.5,,33.9,0.4,25.11,0.11,21.31,1.14,32.31,5.59,18.43,2.88
,Total pesticides,,531,432,436,426,417,413,392,366,383,440,432,402,388,371,0,0,0.7,0,0.2,0,0,0,0.5,,0.2,,0,,0.25,0.25,0.26,0.26,0.27,0.27
,Individual pesticides,,"21,891","11,079","11,997","13,903","16,436","16,597","16,142","15,797","16,535","17,583","19,441","18,894","19,012","18,075",0.2,0.1,0.4,0.1,0.1,0,0.1,0,0,,0,,0.04,,0.05,0.05,0.03,0.03,0.01,0.01
,Other parameters,,"13,414","10,040","9,773","9,629","10,201","9,915","9,323","5,776","5,840","10,411","8,595","8,491","8,207","8,112",0.1,0.1,0.2,0.3,0.2,0.3,0.2,0.5,0.3,,0,,0.16,,0.13,0.13,0.01,0.01,0.02,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,"69,931","48,519","49,551","50,802","54,498","54,406","53,970","50,688","45,206","57,737","57,758","56,059","57,503","57,880",1.6,1.8,1.9,2,1.9,1.8,1.6,1.4,1.3,,1.4,0.36,0.81,0.27,0.58,0.34,0.67,0.37,0.53,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,,,Zones not complying with regulatory requirements,,,,,,,,,,,,,,Percentage of zones exceeding PCV b. or relaxed PCV b.,,,,,,,,,,,,,,,,,,,
,,,1995 1,1996 1,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1995 1,1996 1,1997,1998,1999,2000,2001,2002,2003,,2004,2004,2005,2005,,2006,,2007,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coliforms,g.,5,4,8,6,4,0,0,1,0,NA,NA,7,7,7,4.5,3.7,7.4,5.7,2.9,0,0,2,0,,NA,NA,NA,NA,,g.,,g.,,g.
,Faecal coliforms,,21,17,17,11,7,10,4,8,10,NA,NA,3,3,11,19.1,15.6,15.7,10.4,6.7,9.7,3.9,7.9,10.3,,NA,NA,NA,NA,,4.5,,4.8,,18
,Colour,,4,0,0,0,1,1,0,1,0,NA,NA,7,2,2,3.6,0,0,0,1,1,0,0,0,,NA,NA,NA,NA,,10.6,,3.2,,3.3
,Turbidity,,9,6,8,0,7,3,3,3,2,NA,NA,1,4,2,8.1,5.5,7.4,0,6.7,2.9,2.9,3,2.1,,NA,NA,NA,NA,,1.5,,6.5,,3.3
,Odour,,2,0,3,0,1,0,0,0,0,NA,NA,0,0,0,1.8,0,2.8,0,1,0,0,0,0,,NA,NA,NA,NA,,0,,0,,0
,Taste,,1,0,3,0,1,0,0,0,0,NA,NA,2,0,0,0.9,0,2.8,0,1,0,0,0,0,,NA,NA,NA,NA,,3,,0,,0
,Hydrogen ion,,16,10,5,10,9,3,8,3,1,NA,NA,4,1,1,14.5,9.2,4.6,9.4,8.7,2.9,7.8,3,1,,NA,NA,NA,NA,,6.1,,1.6,,1.6
,Nitrate,,0,1,1,1,0,0,0,1,0,NA,NA,0,0,0,0,0.9,0.9,0.9,0,0,0,1,0,,NA,NA,NA,NA,,0,,0,,0
,Nitrite,,0,0,0,2,2,0,0,1,0,NA,NA,0,0,0,0,0,0,1.9,1.9,0,0,1,0,,NA,NA,NA,NA,,0,,0,,0
,Aluminium,,28,36,23,23,23,20,11,12,13,NA,NA,11,19,13,25.5,33,21.3,21.7,22.1,19.4,10.8,11.9,13.4,,NA,NA,NA,NA,,16.7,,30.6,,21.3
,Iron,,49,38,42,37,53,36,38,31,33,NA,NA,20,22,21,44.5,34.9,38.9,34.9,51,35,37.2,30.7,34,,NA,NA,NA,NA,,30.3,,35.5,,34.4
,Manganese,,2,2,6,1,1,0,1,1,2,NA,NA,6,20,7,1.8,1.8,5.6,0.9,1,0,1,1,2.1,,NA,NA,NA,NA,,9.1,,32.3,,11.5
,Lead,,18,9,16,20,22,15,14,19,20,NA,NA,2,4,5,16.4,8.3,14.8,18.9,21.2,14.6,13.7,18.8,20.6,,NA,NA,NA,NA,,3,,6.5,,8.2
,Polycyclic aromatic hydrocarbons,,18,17,14,9,7,10,8,2,7,NA,NA,0,0,0,16.4,15.6,13,8.5,6.7,9.7,7.8,2,7.2,,NA,NA,NA,NA,,0,,0,,0
,Trihalomethanes,d.,70,71,71,77,78,75,70,73,51,NA,NA,30,34,24,63.6,65.1,65.7,72.6,75,64.1,68.6,72.3,52.6,,NA,NA,NA,NA,,45.5,,54.8,,39.3
,Total pesticides,,0,0,3,0,1,0,0,0,2,NA,NA,1,1,1,0,0,2.8,0,1,0,0,0,2.1,,NA,NA,NA,NA,,1.5,,1.6,,1.6
,Individual pesticides,,19,8,14,8,11,5,9,6,6,NA,NA,6,4,1,17.3,7.3,13,7.5,10.6,4.9,8.8,5.9,2.1,,NA,NA,NA,NA,,9.1,,6.5,,1.6
,Other parameters,,6,10,8,11,10,10,7,14,8,NA,NA,6,1,2,5.5,9.2,7.4,10.4,9.6,9.7,6.9,13.9,8.3,,NA,NA,NA,NA,,9.1,,1.6,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total number of supply zones,,,110,109,108,106,104,103,102,101,97,NA,NA,66,62,61,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,
