CPS outcomes by principal offence category suffolk,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,0,0,0
B Offences Against The Person,88,94.3%,13,5.7%
C Sexual Offences,10,66.7%,1,33.3%
D Burglary,10,95.0%,3,5.0%
E Robbery,1,85.7%,1,14.3%
F Theft And Handling,106,95.4%,4,4.6%
G Fraud And Forgery,3,100.0%,1,0.0%
H Criminal Damage,29,86.8%,4,13.2%
I Drugs Offences,42,97.7%,0,2.3%
J Public Order Offences,65,91.4%,2,8.6%
K All Other Offences (excluding Motoring),24,90.7%,2,9.3%
L Motoring Offences,227,95.3%,10,4.7%
Admin Finalisations,0,0.0%,4,100.0%
TOTAL,607,93.1%,45,6.9%
