De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     
1010012,Belmont Primary School,215 BELMONT ROAD,BELFAST,BT42AG,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1010063,Currie Primary School,111-113 LIMESTONE ROAD,BELFAST,BT153AB,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1010146,Euston Street Primary School,163 EUSTON STREET,BELFAST,BT69AG,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1010157,Rosetta Primary School,21-23 KNOCKBREDA ROAD,BELFAST,BT60JA,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1010205,Forth River Primary School,100 CAIRNMARTIN ROAD,BELFAST,BT133PQ,Primary,Controlled,BELFAST WEST,BELFAST,Urban
1010221,Springfield Primary School,425 SPRINGFIELD ROAD,BELFAST,BT127DJ,Primary,Controlled,BELFAST WEST,BELFAST,Urban
1010232,Harding Memorial Primary School,105-107 CREGAGH ROAD,BELFAST,BT68PZ,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1010252,Strandtown Primary School,NORTH ROAD,BELFAST,BT43DJ,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1010255,Elmgrove Primary School,289 BEERSBRIDGE ROAD,BELFAST,BT54RS,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1010266,"Seaview Primary School, Belfast",SEAVIEW DRIVE,BELFAST,BT153NB,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1010267,Nettlefield Primary School,16 RADNOR STREET,BELFAST,BT68BG,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1010273,Orangefield Primary School,MARINA PARK,BELFAST,BT56BA,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1010282,Carr's Glen Primary School,629-633 OLDPARK ROAD,BELFAST,BT146QX,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1010301,Taughmonagh Primary School,FINDON GARDENS,BELFAST,BT96QL,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1010304,Greenwood Primary School,436-456 UPPER NEWTOWNARDS ROAD,BELFAST,BT43HS,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1010307,Springhill Primary School,247 BALLYGOMARTIN ROAD,BELFAST,BT133NH,Primary,Controlled,BELFAST WEST,BELFAST,Urban
1010323,Edenbrooke Primary School,230 TENNENT STREET,BELFAST,BT133GG,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1010324,Stranmillis Primary School,KNIGHTSBRIDGE PARK,BELFAST,BT95EH,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1010325,Ligoniel Primary School,LIGONIEL ROAD,BELFAST,BT148BW,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1010806,Finaghy Primary School,38 FINAGHY ROAD SOUTH,BELFAST,BT100DR,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1010831,Cavehill Primary School,UPPER CASTLE PARK,BELFAST,BT155FG,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1013018,Knocknagoney Primary School,KNOCKNAGONEY ROAD,BELFAST,BT42NR,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1016059,Blackmountain Primary School,BLACK MOUNTAIN PLACE,BELFAST,BT133TT,Primary,Controlled,BELFAST WEST,BELFAST,Urban
1016060,Donegall Road Primary School,MALDON STREET,BELFAST,BT126HE,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1016076,Ballysillan Primary School,BALLYSILLAN PARK,BELFAST,BT148LT,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1016205,Fane Street Primary School,FANE STREET,BELFAST,BT97BW,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1016207,Blythefield Primary School,BLYTHE STREET,BELFAST,BT125HX,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1016242,Dundela Infants School,WILGAR STREET,BELFAST,BT43BL,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1016485,Glenwood Primary School,4-22 UPPER RIGA STREET,BELFAST,BT133GW,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1016498,Malvern Primary School,25-35 FORSTER STREET,BELFAST,BT131HW,Primary,Controlled,BELFAST WEST,BELFAST,Urban
1016499,Botanic Primary School,6 BOTANIC COURT,BELFAST,BT71QY,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
1016532,Wheatfield Primary School,ALLIANCE ROAD,BELFAST,BT147JE,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1016537,Lowwood Primary School,SHERINGHURST PARK,BELFAST,BT154BL,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1016604,"Harmony Primary School, Belfast",FORTHRIVER CRESCENT,BELFAST,BT133SY,Primary,Controlled,BELFAST WEST,BELFAST,Urban
1016647,Bunscoil Mhic Reachtain,10A LANCASTER STREET,BELFAST,BT151EZ,Primary,Controlled,BELFAST NORTH,BELFAST,Urban
1016655,Victoria Park Primary School,STRANDBURN STREET,BELFAST,BT41LX,Primary,Controlled,BELFAST EAST,BELFAST,Urban
1030194,"Holy Cross Boys' Primary School, Belfast",BROOKFIELD STREET,BELFAST,BT147EX,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban
1030313,"Our Lady of Lourdes Primary School, Belfast",700 ANTRIM ROAD,BELFAST,BT155GQ,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban
1030326,"Our Lady's Primary School, Belfast",32 DEANBY GARDENS,BELFAST,BT146NN,Primary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban
