"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department For Transport","Department For Transport","AAIB- Programmes","21100868","AO","20855","24559","Operations Support Officer","6.14","Operational Delivery"
"Department For Transport","Department For Transport","AAIB- Programmes","21100868","EO","24876","29763","Operations Support Officer","9.21","Operational Delivery"
"Department For Transport","Department For Transport","AAIB- Programmes","21100868","G6","57855","70859","Senior Operational Manager","7.00","Operational Delivery"
"Department For Transport","Department For Transport","AAIB- Programmes","21100868","G7","46695","57506","Senior Operational Manager","25.66","Operational Delivery"
"Department For Transport","Department For Transport","AAIB- Programmes","21100868","HEO","29832","36879","Operational Manager","1.00","Operational Delivery"
"Department For Transport","Department For Transport","AAIB- Programmes","21100868","SEO","37428","45746","Operational Manager","2.00","Operational Delivery"
"Department For Transport","Department For Transport","Analysis & Strategy","21102161","G6","57855","70859","Senior Operational Researcher","2.18","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","21102161","G7","46695","57506","Senior Operational Researcher","10.00","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","21102161","HEO","29832","36879","Operational Researcher","6.00","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","21102161","SEO","37428","45746","Operational Researcher","2.00","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","21102287","EO","24876","29763","Statistical Support Officer","3.00","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","21102287","G6","57855","70859","Senior Operational Researcher","4.84","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","21102287","G7","46695","57506","Senior Operational Researcher","10.33","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","21102287","HEO","29832","36879","Operational Researcher","5.00","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","21102287","SEO","37428","45746","Operational Researcher","10.67","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","25113020","AO","20855","24559","Statistical Support Officer","1.00","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","25113020","EO","24876","29763","Statistical Support Officer","2.94","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","25113020","G6","57855","70859","Senior Operational Researcher","2.00","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","25113020","G7","46695","57506","Senior Operational Researcher","6.44","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","25113020","HEO","29832","36879","Operational Researcher","6.00","Science and Engineering"
"Department For Transport","Department For Transport","Analysis & Strategy","25113020","SEO","37428","45746","Operational Researcher","2.00","Science and Engineering"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218675","AO","20855","24559","Policy Support Officer","1.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218675","EO","24876","29763","Policy Support Officer","1.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218675","G6","57855","70859","Senior Policy Adviser","1.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218675","G7","46695","57506","Senior Policy Adviser","2.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218675","HEO","29832","36879","Policy Adviser","7.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218675","SEO","37428","45746","Policy Adviser","2.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218704","AO","20855","24559","Policy Support Officer","1.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218704","G6","57855","70859","Senior Policy Adviser","2.61","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218704","G7","46695","57506","Senior Policy Adviser","7.34","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218704","HEO","29832","36879","Policy Adviser","2.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25218704","SEO","37428","45746","Policy Adviser","9.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25222106","G6","57855","70859","Senior Policy Adviser","2.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25222106","G7","46695","57506","Senior Policy Adviser","3.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25222106","HEO","29832","36879","Policy Adviser","3.00","Policy"
"Department For Transport","Department For Transport","Aviation Capacity Directo","25222106","SEO","37428","45746","Policy Adviser","0.83","Policy"
"Department For Transport","Department For Transport","Aviation","21101108","EO","24876","29763","Policy Support Officer","2.00","Policy"
"Department For Transport","Department For Transport","Aviation","21101108","G6","57855","70859","Senior Policy Adviser","1.00","Policy"
"Department For Transport","Department For Transport","Aviation","21101108","G7","46695","57506","Senior Policy Adviser","5.00","Policy"
"Department For Transport","Department For Transport","Aviation","21101108","HEO","29832","36879","Policy Adviser","4.00","Policy"
"Department For Transport","Department For Transport","Aviation","21101108","SEO","37428","45746","Policy Adviser","6.00","Policy"
