"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","AO","16349","18854","Operations Support Officer","1.00","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","AO","16349","18854","IT Support Officer","2.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","AO","16349","18854","operations Support Officer","1.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","EO","19059","26179","Analyst","12.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","EO","19059","26179","IT Support Officer","5.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","EO","19059","26179","Operations Support Officer","0.79","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","EO","19059","26179","Senior Analyst","1.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","HEO","25475","28950","Analyst","1.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","HEO","25475","28950","Executive Assistant","1.00","Planning"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","HEO","25475","28950","Not In Post","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","HEO","25475","28950","Senior Analyst","55.81","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","SEO","29144","36892","Senior IT Manager","15.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","Grade 7","42673","54013","Senior IT Manager","3.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","Grade 7","42673","54013","Senior Project Manager","1.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - IT","BSD-IT","Grade 6","47332","59916","Senior IT Manager","2.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AA","15298","15298","Administrative Assistant","20.67","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AA","15298","15298","Operations Support Officer","3.00","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","Communications Support Officer","1.00","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","HR Support Officer","2.92","Human Resources"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","IT Support Officer","1.81","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","Not In Post","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","Operational Manager","1.00","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","Operations Support Officer","9.49","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","Operations Support Officer","3.00","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","Operations Support Officer","5.29","Property and asset management"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","AO","16349","18854","HR Support Officer","1.59","Human Resources"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","HR Officer","2.81","Human Resources"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","Not In Post","3.00","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","Operational Manager","4.46","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","Operational Manager","1.73","Property and asset management"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","Web Manager","2.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","Not In Post","3.81","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","Operational Manager","1.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","Operational Manager","2.00","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","EO","19059","26179","Operational Manager","4.00","Property and asset management"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","HEO","25475","28950","Business Manager","0.56","Property and asset management"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","HEO","25475","28950","Communications Manager","5.00","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","HEO","25475","28950","HR Officer","1.56","Human Resources"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","HEO","25475","28950","Not In Post","3.00","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","HEO","25475","28950","Operational Manager","1.00","Property and asset management"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","HEO","25475","28950","Web Manager","1.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","SEO","29144","36892","Business Manager","1.00","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","SEO","29144","36892","Business Manager","0.91","Property and asset management"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","SEO","29144","36892","Communications Manager","0.86","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","SEO","29144","36892","Not In Post","5.00","Operational Delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate - ODOS","Operations","SEO","29144","36892","Senior HR Manager","3.89","Human Resources"
