A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 1/6/2015 10:10:36 AM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6169317,"89,571.69",,HT000013437,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6169317,"2,292.95",,HT000013437,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6240748,"(33,526.83)",,HT000013773,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6240749,"61,219.79",,HT000013774,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6240749,"2,745.05",,HT000013774,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6026244,"59,462.00",,68831,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6214621,"26,294.00",,68064,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,5929808,"25,343.00",,I0138386,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,6228594,"96,365.84",,34705,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,6228611,"109,380.28",,34703,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,6240755,"(42,563.08)",,HT000013780,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,6240756,"3,228.05",,HT000013781,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,6240756,"95,441.73",,HT000013781,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6081777,"854,197.05",,70011846,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6081808,"397,001.00",,77000087,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6081823,"90,964.43",,77000148,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,6081677,"25,226.00",,52742142,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,6240761,"25,587.47",,HT000013786,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,6240761,442.75,,HT000013786,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5949724,"15,253,432.00",,4111638,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5949731,"44,492.00",,4111648,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,5970482,"33,917.00",,828955,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,6081703,"1,248,556.00",,828924,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,6081874,"397,480.03",,829073,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,Winter Resilience,EPHEDRA HEALTHCARE LTD,6256626,"52,113.00",,01112014WPP,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,6081691,"65,651.42",,X0126342,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,6081565,"95,995.00",,3154023,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5910892,"2,567,628.42",,28010166,
