"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Equalities Office","DCMS2005","A","46751","55686","Senior Policy Adviser","26.32","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Equalities Office","DCMS2005","A(U)","53494","66005","Senior Policy Adviser","7.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Equalities Office","DCMS2005","B","30745","37131","Policy Adviser","41.40","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Equalities Office","DCMS2005","C","23663","26211","Policy Adviser","10.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Equalities Office","DCMS2005","D","20234","21023","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications","DCMS2004","A","46751","55686","Senior Policy Adviser","23.90","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications","DCMS2004","A(U)","53494","66005","Senior Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications","DCMS2004","B","30745","37131","Policy Adviser","18.99","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications","DCMS2004","C","23663","26211","Policy Adviser","2.58","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband, Media, News & Communications","DCMS2004","D","20234","21023","Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment","DCMS2006","A","46751","55686","Senior Finance  Manager","1.00","Finance"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment","DCMS2006","A(U)","53494","66005","Senior Finance  Manager","3.00","Finance"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment","DCMS2006","B","30745","37131","Finance Officer","6.00","Finance"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment","DCMS2006","C","23663","26211","Finance Officer","5.00","Finance"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment","DCMS2006","D","20234","21023","Finance Support Officer","2.00","Finance"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance & Commercial, E&A, Working Environment","DCMS2006","Fast Stream","28366","29876","Finance Officer","1.00","Finance"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Flexible Resourcing Pool","DCMS2999","A","46751","55686","Senior Policy Adviser","54.44","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Flexible Resourcing Pool","DCMS2999","A(U)","53494","66005","Senior Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Flexible Resourcing Pool","DCMS2999","B","30745","37131","Policy Adviser","44.69","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Flexible Resourcing Pool","DCMS2999","C","23663","26211","Policy Adviser","28.83","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Flexible Resourcing Pool","DCMS2999","D","20234","21023","Policy Adviser","30.89","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Flexible Resourcing Pool","DCMS2999","Fast Stream","28366","29876","Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Art Collection","DCMS2001","A","46751","55686","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Art Collection","DCMS2001","B","30745","37131","Policy Adviser","5.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Art Collection","DCMS2001","C","23663","26211","Policy Adviser","6.14","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Human Resources","DCMS2001","A","46751","55686","Senior HR Manager","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Human Resources","DCMS2001","B","30745","37131","HR Officer","2.46","Human Resources"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Human Resources","DCMS2001","C","23663","26211","HR Officer","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Human Resources","DCMS2001","D","20234","21023","HR Support Officer","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Public Appointments","DCMS2001","B","30745","37131","Policy Adviser","5.00","Policy"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Public Appointments","DCMS2001","C","23663","26211","Policy Adviser","1.00","Policy"
