Date,Supplier, Amount
03/09/2012,IIA - UK & IRELAND,"£1,188"
03/09/2012,AUDIT BUREAU OF CIRCUL,"£2,448"
04/09/2012,WWW.BL.UK R/T,£789
05/09/2012,UNIVERSITY OF WARWICK,£691
05/09/2012,WWW.ILXGROUP.COM,£583
05/09/2012,WWW.ILXGROUP.COM,£583
06/09/2012,RSM.AC.UK (EVENTS),£900
06/09/2012,IIA - UK & IRELAND,"£1,032"
07/09/2012,LDN SCH HYGIENE & TROP,"£2,195"
10/09/2012,RADA ENTERPRISES LTD,"£1,541"
12/09/2012,NEWSTIME LTD,£615
13/09/2012,DEPARTMENT OF HEALTH,£532
13/09/2012,DEPARTMENT OF HEALTH,£556
13/09/2012,UNI OF GLASGOW FINANCE,£950
13/09/2012,DWP HOSPITALITY,£620
13/09/2012,GOVNET COMMUNICATI,£510
13/09/2012,DEPARTMENT OF HEALTH,£840
13/09/2012,TSUNAMI AXIS LIMITED,"£2,016"
14/09/2012,MAIL BOX EXPRESS LTD,£516
14/09/2012,NHS CONFEDERATION,£719
14/09/2012,BIRKBECK COLLEGE,"£3,000"
17/09/2012,WWW.POLYPOSTALPACKAGING.,"£1,296"
17/09/2012,SO SIMPLE LIMITED,£732
17/09/2012,KALAMAZOO SECURE LTD,"£2,541"
17/09/2012,CGC EVENTS LTD,£500
17/09/2012,MAN UTD LTD [CONFERENCING],"£1,260"
17/09/2012,EB  A STRATEGIC APPROA,£800
18/09/2012,POSTURITE (UK) LTD,£524
18/09/2012,BUSINESS MOVES LIM,£883
19/09/2012,N STEWART EVENTS,"£1,019"
20/09/2012,TSUNAMI AXIS LIMITED,£635
20/09/2012,TSUNAMI AXIS LIMITED,£980
21/09/2012,PAYPAL  CAMBRIDGE EXECUTIVE,£594
21/09/2012,ITW NETWORKS LTD,"£3,000"
21/09/2012,CROWNE PLAZA,£740
21/09/2012,ICOUNT TRAINING,"£1,125"
25/09/2012,LIVERPOOLCHAMBER,"£1,602"
25/09/2012,E Q V UK LTD,"£2,448"
26/09/2012,STATIONERY OFFICE BOOK,£753
26/09/2012,SB ELECTRONIC SYST,£740
27/09/2012,GOVNET COMMUNICATI,£510
28/09/2012,NHS CONFEDERATION,£934
28/09/2012,OUP JOURNALS,£908
28/09/2012,WWW.ARTS.AC.UK,"£2,195"
28/09/2012,ADVAMED,£506
28/09/2012,ADVAMED,£506
28/09/2012,ADVAMED,£506
28/09/2012,ADVAMED,£506
28/09/2012,ACTIVIA LTD,£790
