UNITTYPE,MNEMONIC,UNITNO,ITEMSTATUS,LOCATION,X,Y
28,GB,1,LIVE,OPP JUNCTION WITH WHARFEDALE MOUNT,411748.01,428427.69
28,GB,2,LIVE,TOP OF THE HILL,407029.9,425786.15
28,GB,3,LIVE,NEAR L/C 19,408130.7,423690.5
28,GB,4,LIVE,O/S WHITE HORSE PUB,409347.23,425054.11
28,GB,5,LIVE,O/S HSE NO 57,411795.96,421107.52
28,GB,6,LIVE,L/H SIDE AT TOP ON GRASS VERGE,409334.17,426202.58
28,GB,7,LIVE,JCT WITH RANGE STREET,409280.99,426143.89
28,GB,8,LIVE,JNC CROSS DIKES ROAD,402130.46,421115.03
28,GB,9,LIVE,O/S HSE NO 1 ASHDENE,393598.96,422195.8
28,GB,10,LIVE,O/S HSE NO 9/10,406933.85,424560.98
28,GB,11,LIVE,O/S HSE NO 94/104,406973.89,424540.34
28,GB,12,LIVE,O/S FLATS 70 TO 80,406992.19,424487.46
28,GB,13,LIVE,J/O ASHENHURST CLOSE,393297.13,425242.72
28,GB,14,LIVE,OPP NO 18 TOP OF ASHVILLE GROVE BY L/C NO 10,406850.95,426056.53
28,GB,15,LIVE,ABOVE L/C 1,408150.44,427272.02
28,GB,16,LIVE,OPP ATHOL STREET,408223.27,427164.85
28,GB,17,LIVE,O/S HSE NO 11,405449.9,427289.41
28,GB,18,LIVE,TO THE REAR OF THE PUB,403956.79,419822.63
28,GB,19,LIVE,JCT OF FOUNTAIN STREET,403843.33,419763.29
28,GB,20,LIVE,JCT WITH RECREATION ROAD,406125.48,423907.87
28,GB,21,LIVE,OPP L/C NO 1,412017.35,425302.6
28,GB,22,LIVE,IN CUL DE SAC AT THE TOP,406553.89,424347.8
28,GB,23,LIVE,O/S FLATS NO 25-28,412226.57,420695.59
28,GB,24,LIVE,S/O PARKING AREA ABOVE HOUSES,404226.08,419384.12
28,GB,25,LIVE,ON BEND ABOVE L/C 355,404400.22,419391.44
28,GB,26,LIVE,ON THE FIRST BEND,404348.12,419436.37
28,GB,27,LIVE,JCT OF SCAMMONDEN ROAD,405546.69,418300.22
28,GB,28,LIVE,JCT HONEY HOLE CLOSE,393591.76,423794.7
28,GB,29,LIVE,OPP HSE NO 9,409260.36,421191.37
28,GB,30,LIVE,OPP HSE NO 5,409308.8,421175.83
28,GB,31,LIVE,ON THE RHS IN THE PLANTED AREA,401354.01,426160.65
28,GB,32,LIVE,SIDE OF HOUSE NO 1 GLEN TERRACE (S/O ONE WAY SIGN),412426.85,425406.09
28,GB,33,LIVE,"O/S THE REAR OF NO 3 THE LACEYS, NEAR TO HSE NO 2",393239.03,424909.45
28,GB,34,LIVE,J/O BROW WOOD ROAD,412641.42,428644.27
28,GB,35,LIVE,BY SIDE OF HSE NO 30 BY GARAGE,409860.36,425975.41
28,GB,36,LIVE,BY L/C NO 5,409888.05,426028.57
28,GB,37,LIVE,GRASS VERGE IN FRONT OF HSE NO 18,408494.05,424226.5
28,GB,38,LIVE,OPP GARAGES S/O L/C 2,409747.82,425964.79
28,GB,39,LIVE,OPP HSE NO 17 (S/O LAMP COLUMN 8),411767.71,428267.29
28,GB,40,LIVE,S/O TELEGRAPH POLE 1394 JCT BELL VUE RISE,411784.8,428391.67
28,GB,41,LIVE,OPP HSE NO 39 BY THE TELEGRAPH POLE,406617.62,424258.83
28,GB,42,LIVE,SIDE OF L/C NO 6 JUST BELOW 'HEATHERLY',393664.5165,422015.5995
28,GB,43,LIVE,OPPOSITE BIRKS HOUSE,393611.67,421943.89
28,GB,44,LIVE,JCT WITH BLACK WALL LANE,405585.83,424254.23
28,GB,45,LIVE,BY SCHOOL GATES,403457.81,424935.23
28,GB,46,LIVE,JCT WITH MARLBOROUGH ROAD - OPP HSE NO 2,399499.85,427340.01
28,GB,47,LIVE,JUNCTION WITH TROOPER LANE,410244.77,424397.05
28,GB,48,LIVE,OPP HSE NO 52,413157.42,424637.22
28,GB,49,LIVE,S/O HSE NO 20,403398.08,425226.12
28,GB,50,LIVE,S/O L/C 288,399771.02,428561.03
28,GB,51,LIVE,OPPOSITE HSE NO 2,394064.13,420784.33
28,GB,52,LIVE,NEAR HSE NO 1,410058.07,423196.64
28,GB,53,LIVE,BTM OF HILL BET QUARRY AND GATE OPP ENT TO DEER STONES,403749.58,422142.86
28,GB,54,LIVE,O/S HSE NO 140,414435.21,423828.36
28,GB,55,LIVE,HSE NO 68,408602.81,419893.09
28,GB,56,LIVE,BY LC NO 2,408675.34,419756.36
28,GB,57,LIVE,OPP HSE NO 124,408496.65,419840.7
28,GB,58,LIVE,OPPOSITE L/C 2,414131.08,422047.39
28,GB,59,LIVE,JUST BELOW HSE NO 5 NEXT TO FOOTPATH,405121.97,423068.61
28,GB,60,LIVE,10M BELOW L/C 6,404868.24,422973.35
28,GB,61,LIVE,JCT WITH DENBY PLACE NEXT TO MILL,405755.51,424032.22
28,GB,62,LIVE,OPP HSE NO 40,404115.96,420125.25
28,GB,63,LIVE,JCT BRIGHOUSE WOOD ROW,413826.17,423197.03
28,GB,64,LIVE,BY L/C NO 7,413902.27,423118.93
28,GB,65,LIVE,BETWEEN L/C 13 AND BT CABINET,412088,428489.76
28,GB,66,LIVE,SIDE OF HOUSE NO 32 NEAR TO FIELD ENTRANCE,405903.42,426438.69
28,GB,67,LIVE,BY LC 1,406086.24,426472.59
28,GB,68,LIVE,JCT WITH MOOREND ROAD,405965.43,426549.08
28,GB,69,LIVE,BETWEEN HSE NOS 6 & 7,405145.16,423160.55
28,GB,70,LIVE,S/O HSE NO.3,414047.21,421906.42
28,GB,71,LIVE,AT TOP BY ZEBRA CROSSING,411060.64,420986.22
28,GB,72,LIVE,JUNCTION WITH BRIDGE END,414354.05,422327.42
28,GB,73,LIVE,JCT WITH SHAW LANE,408810.46,419700.34
28,GB,74,LIVE,OPP HSE NO 25,405697.16,428582.93
28,GB,75,LIVE,O/S HSE NO 29,408905.41,425059.68
28,GB,76,LIVE,BY L/C 7,411548.02,420661.6
28,GB,77,LIVE,OPP HSE NO 13-15,393074.89,422144.74
28,GB,78,LIVE,SIDE OF HSE NO 3,393135.01,422131.58
28,GB,79,LIVE,O/S HSE NO 8,415880.16,422963.2
28,GB,80,LIVE,O/S HOUSE NO 5 S/O LC1,415956.4,422890.93
28,GB,81,LIVE,JUNCTION WITH BRAMSTON STREET,414132.81,422203.75
28,GB,82,LIVE,AT TOP OPP HSE NO 23,412060.15,421150.63
28,GB,83,LIVE,AT THE BOTTOM SIDE OF HOUSE NO 1,413741.05,421005.63
28,GB,84,LIVE,S/O L/C 6,413733.62,420913.58
28,GB,85,LIVE,O/S HSE NO 85,413589.42,420824.41
28,GB,86,LIVE,JUNCTION OF BURNLEY ROAD,389839.36,426298.98
28,GB,87,LIVE,S/O GARAGES,413930.37,421771.14
28,GB,88,LIVE,BY LAMP COLUMN NO 3,395014.9,424586.98
28,GB,89,LIVE,OPP HSE NO 22,413823.5,421915.61
28,GB,91,LIVE,O/S HSE NO 17,413793.79,421857.55
28,GB,92,LIVE,OPP HSE NO 33,405233.34,423579.99
28,GB,93,LIVE,S/O L/C 8,413814.45,421388.26
28,GB,94,LIVE,TOP  OF FALCON STREET,409756.94,423117.01
28,GB,95,LIVE,OPP 21/23,411649.65,423624.33
28,GB,96,LIVE,START OF FORECOURT TO THE NAVIGATION,406666.79,423793.97
28,GB,97,LIVE,SIDE OF HSE NO 35 ON VERGE,411462.3375,423740.8504
28,GB,98,LIVE,ON CORNER BETWEEN HSE 6 - 7,411435.87,426540.72
28,GB,99,LIVE,JCT WITH BOOTHTOWN ROAD,408996.59,426359.17
28,GB,100,LIVE,OPP HSE NO 61,408774.61,426270.23
28,GB,101,LIVE,JCT WITH OLD MILL RIDGE,400216.75,428136.35
28,GB,102,LIVE,BY L/C 2387,412691.98,421334.97
28,GB,103,LIVE,OPP J/O KIMBERLEY STREET,408313.51,427759.94
28,GB,104,LIVE,OPPOSITE L/C NO 2,400839.32,426135.96
28,GB,105,LIVE,OPP CORONATION STREET,409480.88,421441.58
28,GB,106,LIVE,NEXT TO CLOTHES POST ON FOOTWAY,401363.68,425659.84
28,GB,107,LIVE,J/O FOXSTONES LANE,403957.95,418942.62
28,GB,108,LIVE,S/O L/C NO 3,399466.17,427342.75
28,GB,109,LIVE,JCT OF CLOSE LEA DRIVE,413997.49,422111.66
28,GB,110,LIVE,OPPOSITE HSE NO 13,408840.96,424135
28,GB,111,LIVE,JUNCTION WITH GLEN VIEW ON THE GRASS,408901,424254.75
28,GB,112,LIVE,OPP HSE NO. 26 IN LAYBY,412768.95,429202.65
28,GB,113,LIVE,ON VERGE OPP L/C NO.1,411197.48,426919.23
28,GB,114,LIVE,OPP HSE NO 19,406284.7436,425568.7666
28,GB,115,LIVE,TOP OF THE HILL OPP HSE NO 35,404065.02,424551.02
28,GB,117,LIVE,ADJACENT TO NO 161 HUDDERSFIELD ROAD,409455.07,423682.04
28,GB,118,LIVE,JUST ABOVE HSE NO 8,412719.24,425771.01
28,GB,119,LIVE,O/S HSE NO 22,407235.38,424189.48
28,GB,120,LIVE,OPP HSE NO 1,407940.16,426472.75
28,GB,121,LIVE,OPP L/C 4,408029.1,426488.76
28,GB,122,LIVE,JUNCTION OF BIRKS LANE AGAINST RETAINING WALL,403632.62,421781.33
28,GB,123,LIVE,BY THE POST OFFICE,408968.08,421299.93
28,GB,124,LIVE,S/O HSE NO 10,416540,422467.85
28,GB,125,LIVE,JCT WITH CHAPEL STREET,408931.47,419867.63
28,GB,126,LIVE,O/S HSE NO 14,409051.81,421307.52
28,GB,128,LIVE,SIDE OF HSE NO 22,394651.41,424050.48
28,GB,129,LIVE,JCT WITH PARADISE LANE,405645.78,424672.04
28,GB,130,LIVE,IN THE CORNER O/S HSE NO 3 ROSE MOUNT,407992.8,423842.5
28,GB,131,LIVE,JUNCTION OF DENE CLOSE,410461.75,420229.91
28,GB,132,LIVE,IN CORNER OF CAR PARK NEAR TO HSE NO 31,408812.75,425591.36
28,GB,133,LIVE,AT THE TOP OF THE HILL AT TURNING HEAD,408990.89,425363.92
28,GB,134,LIVE,JCT OF CORNWALL CRESCENT - O/S HSE NO 65,414709.45,425069.69
28,GB,135,LIVE,SIDE OF HSE NO 60,393049.79,425332.75
28,GB,136,LIVE,O/S HSE NO 3 (S/O L/C 11),408538.36,421590.02
28,GB,137,LIVE,J/O WOOD LANE,403131.73,427991.82
28,GB,138,LIVE,O/S HSE NO 11 SIDE OF L/C,410677.19,420197.32
28,GB,139,LIVE,J/O CARRHOLME COURT,407839.97,424381.78
28,GB,140,LIVE,NR L/C 9,407629.8,426455.75
28,GB,141,LIVE,FAR SIDE OF RAILWAY ARCH,396086.48,424964.33
28,GB,142,LIVE,JCT WITH WILLOW STREET O/S HSE NO 1,406679.05,423904.51
28,GB,143,LIVE,NEAR TO L/C 4 AT TOP OF THE STEPS,414430.61,422475.26
28,GB,144,LIVE,S/O L/C NO 1,410909.18,421176.84
28,GB,145,LIVE,O/S HSE NO 7,404530.97,423231.89
28,GB,146,LIVE,SIDE OF L/C NO 6,415320.26,421931.29
28,GB,147,LIVE,OPP HSE NO 1 RAGLEY VIEW,398231.1,427854.87
28,GB,148,LIVE,"OPP L/C 503, S/O T POLE 367",398358.09,427639.53
28,GB,149,LIVE,AT THE TURNING HEAD AT THE END OF THE ROAD,398216.64,427942.03
28,GB,150,LIVE,HALF WAY UP ON RHS BY L/C,404044.3457,424503.8673
28,GB,151,LIVE,CORNER OF FARM SHOP CAR PARK,396009.88,428960.43
28,GB,152,LIVE,NR L/C NO 6,405754.86,425034.84
28,GB,153,LIVE,OPP HSE NO 1,411376.28,423550.84
28,GB,154,LIVE,JCT WITH BIRCHCLIFFE ROAD,399405.46,427472.68
28,GB,155,LIVE,BETWEEN 24 AND 26,408182.75,424196.49
28,GB,156,LIVE,OPP HSE NO 70 BY SUB STATION,407222.03,423825.66
28,GB,157,LIVE,SIDE OF BRIDGE NEAR CHURCH,404068.17,419774.14
