Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Derby City,01/03/2012,SrvcsRecd-FoundationTrust,DHC FT SLA-Estates,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,24700.33
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Bradshaw Clinic,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,1013.67
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Cardinal Square,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,11031.07
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Coleman H/Centre,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,7176.17
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Kingsmead Clinic,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,765.92
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Peartree Clinic,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,1675.67
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Revive Centre,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,1314.08
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Sinfin H/Centre,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,2305.83
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Village M/Centre,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,5289.17
Department of Health,NHS Derby City,01/03/2012,Ext Contr Domestics,Estate-Walk In Centre,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,10295843,3392
Department of Health,NHS Derby City,01/03/2012,Healthcare Srv Rec PCTs,Childrens Continuing Care,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,10267480,39848.16
Department of Health,NHS Derby City,01/03/2012,Healthcare Srv Rec PCTs,Childrens Continuing Care,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,10267481,35685
Department of Health,NHS Derby City,01/03/2012,Healthcare Srv Rec PCTs,SLA-EMSCG-LD-OATS,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,10267519,56981.96
Department of Health,NHS Derby City,01/03/2012,Healthcare Srv Rec PCTs,SLA-EMSCG-MI-Ind Provider,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,10267519,194947.61
Department of Health,NHS Derby City,01/03/2012,Hcare Srv Rec NHS Trust,SLA-NUH NT-G+A,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,10295842,80121
Department of Health,NHS Derby City,02/03/2012,Independent Sector,Reablement,DERBY CITY COUNCIL,10308491,738000
Department of Health,NHS Derby City,02/03/2012,Commercial Sector,DHU-Walk In Centre,DERBYSHIRE HEALTH UNITED LTD,10308468,108815.66
Department of Health,NHS Derby City,02/03/2012,Interpreting services,Interpreting Service,PEARL LINGUISTICS LTD,10295846,54332.23
Department of Health,NHS Derby City,02/03/2012,Commercial Sector,DAAT Pooled Treatment,PHOENIX HOUSE,10308466,54504
