"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 1","55000","65000","Head of Corporate Services","1.00","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 4","24000","35000","Corporate Services Line Managers","2.00","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 5","17000","27000","Admin Support","4.90","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Policy & Technical Development","94","Band 1","55000","65000","Head of Policy & Technical Development","1.00","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Policy & Technical Development","94","Band 2","33000","51000","Technical Specialists","3.00","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Information & Guidance","94","Band 1","55000","65000","Head of Information & Guidance","1.00","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Information & Guidance","94","Band 2","33000","51000","Technical Specialists","10.00","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Information & Guidance","94","Band 3","25000","37000","Assistant Technical Specialists","2.60","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Dispute Resolution","94","Band 1","55000","65000","Head of Dispute Resolution","1.00","Operational delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Dispute Resolution","94","Band 2","33000","51000","Technical Specialists","8.40","Operational delivery"
