DfE code,School Name,Type,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I15,I16,I17,I18,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,CI01,CI03, CI04,DeMinimis,CE01,CE02,CE03,CE04,OB01,OB02,OB03,B01,B02,B03,B05,B06
1101,Calderdale PRU,PRU,733333.33,0,482974.32,0,31460,0,18361.88,174478.73,2896.28,0,249.07,0,0,0,0,0,2708,663767.67,0,381029.81,49512.38,74106.74,0,0,1647.54,4907.3,0,200,13429.65,1020.6,994.47,1438.76,14817.54,12818,20218.83,88109.84,7550.96,4999.27,6306.02,6319.44,800.43,13656.57,110114.9,2300.65,15411.91,0,0,0,0,5553,0,0,1,8050,0,0,0,131091.92,0,5316,82074.25,0,0,2819,0
2001,Rawson Junior and Infant school,Primary,1441820.48,0,25514.88,0,195810,255.5,4561.5,31650.14,21719.2,16763,4000.31,16880.14,0,0,0,0,57807.14,732411.26,13385.96,336780.71,24354.99,84022.32,22060.89,37375.9,8279.5,13481.55,15272.06,5301.56,29517.27,2689.41,29120.11,4423.87,21462.38,19596.75,9147.83,84783.78,31590.92,0,6230.38,10614.92,0,88962.86,96438.98,583.6,19751.96,0,0,0,0,7985,0,0,1,0,0,0,0,29820.16,0,8663.65,98960.73,0,16648.65,0,0
2003,Ferney Lee Primary School,Primary,1015139.74,0,23369.25,0,121340.09,153.2,4175,19807.89,8642.35,6088.08,0,0,430.47,0,0,0,31969.15,510428.98,1355.52,274797.95,54270.93,59147.4,15137.31,18819.27,2440.76,11593.49,6335.52,5086.56,24557.88,4212.47,3665.33,6456.19,23672.4,11757.18,6361.02,44407.26,15786.03,0,7375.76,14208.29,1340.42,42502.19,3473,65431.18,25486.15,0,0,0,430.47,6327,0,0,1,0,0,0,0,117549.28,430.47,12699.69,88558.06,0,19026.69,0,0
2006,Copley primary school,Primary,808386.25,0,17650.25,0,33845,6000,48215.01,891.26,24212.02,33996.13,3044.89,0,15011.22,0,0,0,47682.57,461544.37,14818.66,161244.66,35728.74,53036.87,18721.91,20890.79,1293.73,5762.04,10826.05,3872.43,12741.25,1499.88,2481.76,2361.62,11675,10106.5,1212.74,58377.11,31469.29,0,7211.46,7772.7,0,51179.01,28993.64,5860,9264.59,0,0,0,0,6599,0,0,1,0,0,0,0,133667.43,0,11938.96,142655.23,0,18537.96,0,0
2007,Dean Field Community Primary School,Primary,1055396.14,0,9077.37,0,180267,2755,0,21616.69,63159.79,15466.94,2357.14,0,0,0,0,19989.89,28910.83,445918.12,2506.59,311203.55,53423.16,67238.3,73921.07,24656.99,3149.39,16068.1,10902.37,5328.56,63066.58,5089,2252.42,4194.49,26919.76,21815.25,27021.75,71814.1,23689.5,0,6346.2,10660.91,0,51190.55,49890.97,13741.24,20803.68,0,0,20872.79,0,6390,0,0,1,0,6550,0,0,44268.1,0,1475.39,10462.4,0,1315.39,0,-882.9
2009,Savile Park Primary School,Primary,1537435.81,0,34282.25,0,91480,193.5,2245.51,43856.22,19224.73,693.27,5149.63,3480.6,3975.76,0,0,0,48858.58,534277.04,47493.94,393391.69,0,57093.67,5047.99,27670.88,3305.71,7695.78,10371.8,7223.97,267719.39,4114.57,56095.95,5809.9,33834.17,29610,2409,68565.14,55132.5,0,26973.25,19458.3,0,61699.31,8750,30455.84,11318.46,0,0,0,0,30351,0,0,1,0,0,0,14929,118554.49,0,11559.79,133912.1,0,26981.79,0,0
2010,Lee Mount Primary School,Primary,1576803.51,0,29351.16,0,201360,9080.53,1000,24351.24,17820.92,31702.18,10062.82,7725.5,1394.14,0,50646.11,0,46705.78,864533.89,30900.73,437420.59,21887.41,60389.57,26074.35,42139.49,1663.04,7039,17440.81,4645.51,18324.8,663.84,28486.81,7196.48,24256.44,15406.25,10284.92,81719.65,8844.42,0,18478.56,11330.27,0,79101.66,21147.89,23255.16,8492.93,0,0,55323.19,1492.1,7926,0,0,1,0,5352.89,0,0,70023.9,-13484.26,12023.92,156257.21,0,14597.03,0,-19653.44
2015,Northowram primary school,Primary,1521281.12,0,17573.65,0,57491.98,3490.6,16838.2,10279.66,57572.97,30574.47,-2.41,20503.8,7875.15,0,0,0,78786,790417.07,13316.18,315728.81,50793.02,74215.91,59392.91,58076.91,5409.51,10365.35,19590.73,1461.82,26971.94,17169.22,1998.32,2496.46,19625.71,30319.5,10035.15,78439.01,15074.89,0,16988.52,13649.2,7498.08,59177.3,31585.62,22657.35,25399.11,0,0,0,0,9144,0,0,1,0,0,0,0,65186.53,0,-43711.57,109598.12,0,-34567.57,0,0
2017,Parkinson Lane Community Primary School,Primary,2208877.37,0,17111.69,0,199740,72826.79,11000,59828.83,72931.41,6935.18,27414.31,31188.65,1846.64,0,0,0,74924.63,1143283.08,30137.15,417966.89,111037.6,107464.19,81121.71,37172.24,711.6,31831.61,23158.94,1794.46,81853.14,0,9401.06,8284.83,50503.12,-15929.25,14207.93,163498.28,69758.95,0,28066.01,17327.05,70750.62,67448.71,0,12522,32136.46,0,95135.17,0,0,9605,0,95135.17,1,0,104230.17,510,0,362818.77,0,0,262800,194000.72,0,0,0
2021,Salterhebble Junior and Infant School,Primary,792593.86,0,7319.25,0,59400,1378,2550.05,1090,18724.06,8000,1061.87,310.8,3012.12,0,0,0,41703.02,412148.6,14292.81,127595.84,31114.74,52659.91,14225.54,18020.09,87.38,15643.72,8403.96,3379.72,9513.13,4448.08,1980.6,1411.98,16566.63,20089.75,5780.52,44843.83,14549.8,0,3876.65,7063.85,0,44992,39321.2,16390.09,15677.98,0,0,0,0,6329,0,0,1,0,3050,1224.65,3196,73051.26,0,26478.75,66115.89,0,25337.1,0,0
