Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,PHARMACY PILGRIM,DIAGNOSTICS,BAYER PLC,26220,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,PHARMACY,DIAGNOSTICS,BAXTER HEALTHCARE LTD,62560.44,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,36828.6,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,67800,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,70221,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,PHARMACY,DIAGNOSTICS,CELGENE LIMITED,28890,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,SW SUPPORT,CLINICAL SUPPORT MANAGEMENT,AGFA HEALTHCARE UK LTD,94505.52,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,SERVICES FROM NON-NHS BODIES,DIRECTOR OF OPERATIONS,SYNERGY HEALTH (UK) LTD,250715.53,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,INDUSTRIAL ENERGY SERVICES LTD,33640.31,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,EQUIPMENT >5K,CAPITAL PROGRAM,NHS SUPPLY CHAIN (CAPITAL INVOICES ONLY),51220.98,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,65939.52,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,CONSULTANTS FEES,CAPITAL PROGRAM,CAPITA PROPERY & INFRASTRUCTURE LTD,22523.75,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,37125,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,837307.5,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,COURSE FEES,MEDICAL DIRECTOR,HEALTH EDUCATION ENGLAND,48150,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,WAN USAGE,DIRECTOR OF PERF IMPROVEMENT,BT GLOBAL SERVICES,71376.54,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,MEDICAL RECORD STORAGE,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RESTORE PLC - (WAS MAGNUM),32018.62,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,EQUIPMENT >5K,CAPITAL PROGRAM,FUJIFILM SONOSITE LTD,44624.13,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,DIAGNOSTIC TESTS NON NHS,DIAGNOSTICS,SG RADIOLOGY & ASSOCIATES LIMITED,26542.57,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,EXTERNAL AUDIT,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,KPMG LLP,22978.25,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,CLINICAL SERVICE CONTRACT,THERAPIES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,52482,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,RADIOLOGY REPORTING ONLINE LLP,52251.75,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,RADIOLOGY REPORTING ONLINE LLP,69697.75,Oct-16
