"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"The Supreme Court","UK Supreme Court","UK Supreme Court","1","Ab","55587","74766","Registrar","1.00","Law"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","Ab","55587","74766","senior finance manager","1.00","Finance"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","Aa","53059","71368","Judicial Assistant","0.47","Law"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","A","50534","67969","Senior Communications Manager","1.00","Communications"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","A","50534","67969","Building and Health and Safety Manager","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","A","50534","67969","Senior HR Manager","1.00","Human Resources"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","A","50534","67969","Records Manager","1.00","Knowledge and Information Management (KIM)"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","B","35188","44964","Communications Manager","1.00","Communications"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","B","35188","44964","Librarian","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","B","35188","44964","Judicial Assistant","7.00","Law"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","B","35188","44964","Registry Administrator","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Costs Clerk","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Events Manager","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","IT Manager","1.00","Information Technology"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Listing Manager","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Office Manager","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Web Manager","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Finance Officer","1.00","Finance"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Librarian Assistant","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Deputy Building Manager","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Personal Assistant","7.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Public Relations Officer","3.60","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Registry Administrator","3.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","E","19135","22250","Usher","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","E","19135","22250","Finance Support Officer","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","E","19135","22250","Registry Administrator","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","F","16737","18700","Registry Administrator","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","F","16737","18700","Messenger","1.00","Operational Delivery"
"The Supreme Court","UK Supreme Court","UK Supreme Court","1","D","24007","28000","Personal Assistant to Chief Executive","1.00","Operational Delivery"
