Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/02/2018,Officer ESC (O),Information Management Services,HR – PENSION COMPENSATION,1900479831,"34,037.97",Officer ESC (O),PO20 1EL,,,,
HMRC,HMRC,01/02/2018,Translation services,Fraud Investigation Service,K INTERNATIONAL PLC,5100077766,"28,463.06",Translation,MK5 8PL,,,,
HMRC,HMRC,01/02/2018,Grant in Aid Funding,Central Customer and Strategy,ROYAL NATIONAL INST OF BLIND PEOPLE,5100077847,31250,Grant in Aid Funding,WC1 9NE,,,,
HMRC,HMRC,01/02/2018,Research conslt serv,Estates,IPSOS MORI UK LTD,5100077855,"32,893.80",Research conslt serv,SE1 1PY,,,,
HMRC,HMRC,01/02/2018,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100077869,"131,564.54",Costs for officers stationed abroad,MK10 1PX,,,,
HMRC,HMRC,01/02/2018,Proprietry sys maint,Information Management Services,Department for Work and Pensions,5100078487,"46,145.49",Child Benefit System,FY5 3TA,,,,
HMRC,HMRC,01/02/2018,Proprietry sys maint,Information Management Services,Department for Work and Pensions,5100078489,"29,367.66",Child Benefit System,FY5 3TA,,,,
HMRC,HMRC,01/02/2018,Proprietry sys maint,Information Management Services,Department for Work and Pensions,5100078491,"39,204.32",Child Benefit System,FY5 3TA,,,,
HMRC,HMRC,01/02/2018,Proprietry sys maint,Information Management Services,Department for Work and Pensions,5100078492,"253,116.48",Child Benefit System,FY5 3TA,,,,
HMRC,HMRC,02/02/2018,System Maintenance,Information Management Services,CLOUDREACH EUROPE LIMITED,1900479702,"70,637.62",AWS Foreign Payment Dec-17 usage - Cloud DG,EH8 8PJ,,,,
HMRC,HMRC,02/02/2018,Employee education,HR,PERSONAL STRENGTHS (UK) LTD,5100076379,"20,980.00",Employee education,PE9 1QS,,,,
HMRC,HMRC,02/02/2018,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100078653,"27,552.72",Costs for officers stationed abroad,MK10 1PX,,,,
HMRC,HMRC,02/02/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100078665,"112,411.76",MDS IMACDs,W1U 3BW,,,,
HMRC,HMRC,02/02/2018,Network Voice Serv,Information Management Services,VODAFONE LTD,5100078671,"43,012.31",Vodafone January 18 invoice charges for Communication Services (Blackberry),RG14 5FF,,,,
HMRC,HMRC,02/02/2018,Desktop Managed Serv,Information Management Services,HP Inc,5100078673,"138,676.03",November Click Charges,RG12 IHN,,,,
HMRC,HMRC,02/02/2018,Legal Service Sol's,Solicitors Office,THE SCOTLAND OFFICE,5100078779,"63,599.66",Legal Service Sol's,EH3 7HW,,,,
HMRC,HMRC,02/02/2018,WAN maint or supp,Information Management Services,VODAFONE,5100078795,"298,535.03",WAN maint or supp,RG12 1XL,,,,
HMRC,HMRC,02/02/2018,Rent,Estates,LAMBERT SMITH HAMPTON,5100078835,"4,988.16",Quarterly Rent for Bathgate Pyramids Business Park (28/2/18 - 27/5/18),NG1 5FS,,,,
HMRC,HMRC,02/02/2018,Landlord Charges,Estates,LAMBERT SMITH HAMPTON,5100078835,"5,449.10",Quarterly Landlord's Service Charge for Bathgate Pyramids Business Park (28/2/18 - 27/5/18),NG1 5FS,,,,
HMRC,HMRC,02/02/2018,Rent,Estates,LAMBERT SMITH HAMPTON,5100078835,244419.84,Quarterly Rent for Bathgate Pyramids Business Park (28/2/18 - 27/5/18),NG1 5FS,,,,
HMRC,HMRC,02/02/2018,Landlord Charges,Estates,LAMBERT SMITH HAMPTON,5100078835,"267,006.34",Quarterly Landlord's Service Charge for Bathgate Pyramids Business Park (28/2/18 - 27/5/18),NG1 5FS,,,,
HMRC,HMRC,02/02/2018,Maintenance fees,Change Portfolio,SPECIALIST COMPUTER CTR,5100078875,"109,118.42",Maintenance fees,B11 2LE,,,,
HMRC,HMRC,02/02/2018,Contingnt Labr IT,Change Portfolio,EQUAL EXPERTS UK LTD,5100078880,223481.25,Contingnt Labr IT,WC1H 9BB,,,,
HMRC,HMRC,05/02/2018,Training costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900491823,"26,456.42",Employee Training,DL1 9HN,,,,
HMRC,HMRC,05/02/2018,Contingnt Labr IT,Change Portfolio,EQUAL EXPERTS UK LTD,5100078882,"137,206.25",Contingnt Labr IT,WC1H 9BB,,,,
HMRC,HMRC,05/02/2018,Telephone Support,Information Management Services,KCOM GROUP PLC,5100078908,"34,514.32",Management charge,HU1 3RE,,,,
HMRC,HMRC,05/02/2018,Desktop Managed Serv,Information Management Services,HP Inc,5100078910,"139,205.07",September Click Charges,RG12 IHN,,,,
