,,,,Plymouth,South West,England
,,,,Unitary Authority,Region,Country
All Usual Residents Aged 16 to 74 in Employment,Count,Persons,Mar-11,117466,2560384,25162721
"1. Managers, Directors and Senior Officials",Count,Persons,Mar-11,9508,283074,2734900
"1. Managers, Directors and Senior Officials",Percentage,Persons,Mar-11,8.1,11.1,10.9
2. Professional Occupations,Count,Persons,Mar-11,16170,422807,4400375
2. Professional Occupations,Percentage,Persons,Mar-11,13.8,16.5,17.5
3. Associate Professional and Technical Occupations,Count,Persons,Mar-11,14638,310428,3219067
3. Associate Professional and Technical Occupations,Percentage,Persons,Mar-11,12.5,12.1,12.8
4. Administrative and Secretarial Occupations,Count,Persons,Mar-11,13201,281607,2883230
4. Administrative and Secretarial Occupations,Percentage,Persons,Mar-11,11.2,11,11.5
5. Skilled Trades Occupations,Count,Persons,Mar-11,15317,342980,2858680
5. Skilled Trades Occupations,Percentage,Persons,Mar-11,13,13.4,11.4
"6. Caring, Leisure and Other Service Occupations",Count,Persons,Mar-11,12914,250304,2348650
"6. Caring, Leisure and Other Service Occupations",Percentage,Persons,Mar-11,11,9.8,9.3
7. Sales and Customer Service Occupations,Count,Persons,Mar-11,12497,215489,2117477
7. Sales and Customer Service Occupations,Percentage,Persons,Mar-11,10.6,8.4,8.4
"8. Process, Plant and Machine Operatives",Count,Persons,Mar-11,8647,171227,1808024
"8. Process, Plant and Machine Operatives",Percentage,Persons,Mar-11,7.4,6.7,7.2
9. Elementary Occupations,Count,Persons,Mar-11,14574,282468,2792318
9. Elementary Occupations,Percentage,Persons,Mar-11,12.4,11,11.1
"Occupation, 2011 (KS608EW), Mar11",LastUpdated,30-Jan-13,,,,
"Occupation, 2011 (KS608EW), Mar11",Source,Office for National Statistics,,,,
Occupation (KS608EW),National Statistics,,,,,
"This material is Crown Copyright. You may re-use this information (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit www.nationalarchives.gov.uk/doc/open-government-licence Information Policy Team, The National Archives, Kew, London TW9 4DU, or email:psi@nationalarchives.gsi.gov.uk. When reproducing this material, the source should be acknowledged.",,,,,,
