MOD Single Service Chiefs - Meetings with External Organisations ,,
,,
1 JANUARY - 31 MARCH 2015,,
,,
,,
Chief of the Defence Staff -  General Sir Nicholas Houghton ,,
Month ,Name of Organisation,Purpose of Meeting 
Nil ,Nil ,Nil 
,,
Vice Chief of Defence Staff - Air Chief Marshal Sir Stu Peach,,
Month ,Name of Organisation,Purpose of Meeting 
February,Babcock International Group PLC,Discussion with Industry
February,BAE Systems Submarines,Industry Visit
February,Rolls Royce,Industry Visit
March,AWE Burghfield,Site Visit
,,
"Chief of the Air Staff -  Sir Andrew Pulford, Air Chief Marshal",,
Month ,Name of Organisation,Purpose of Meeting 
Jan,Karen Rudich ? Firedrake Consulting,General catch up
Jan,"Mark Thomas, Andrew Creber ? PA Consulting Group",Conceptual Component of Fighting Power mtg
Jan,RAdm Cobolt ? RBL,General catch up
Jan,Mr Paul Kahn ? Airbus,Introductory Call
Jan,Sir Glenn Torpy ? BAE Systems,General catch up
Jan,Nick Pollard ? SSVC,Introductory call
Feb,Bernard Edwards ? Mood International,General catch up
Mar,Ardi Kolah ? Independent BAME Consultant,Equality and Diversity 
Mar,Orlando Carvalho ? Lockheed Martin,C130 & F35 Discussion
Mar,Maggie Appleton ? RAF Museum,Introductory Meeting
Mar,Mark Thomas ? PA Consulting Group,Conceptual Component 121
Mar,General Roggero ? RAFMAF,RAMAF Banquet 2015
,,
,,
,,
Chief of the Naval Staff - Admiral Sir George Zambellas,,
Month ,Name of Organisation,Purpose of Meeting 
Jan,The Royal Society ,The Crick Institute 
Jan ,Guild of PR,Brief ahead of banquet 
Feb ,Egon Zehnder,Feedback on Non-Executive Director Recruitment 
Feb,Fleet Air Arm Heritage ,Future of FAA Heritage 
,,
,,
Commander Joint Forces Command - General Richard Barons,,
Month ,Name of Organisation ,Purpose of Meeting 
Nil ,Nil ,Nil 
,,
,,
,,
Chief of the General Staff -  General Sir Nicholas Carter ,,
Month,Name of Organisation,Purpose of Meeting
06-Jan-15,The Director of the Institute for Statecraft,Meeting - to discuss future strategic Defence policy and direction
14-Jan-15,The Director of McKinsey and Company?s London office,Army Conference - company assisted in its facilitation - to discuss future strategic Defence policy and direction
15-Jan-15,The Military Attach? to the US Embassy,Meeting - to discuss future strategic Defence policy and direction
15-Jan-15,The Pakistani Chief of the Army Staff,Meeting - official (inward) visit
