CPS outcomes by principal offence category Humberside,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0.00%,1,100.00%
B Offences Against The Person,169,76.50%,52,23.50%
C Sexual Offences,11,73.30%,4,26.70%
D Burglary,42,75.00%,14,25.00%
E Robbery,15,88.20%,2,11.80%
F Theft And Handling,205,95.80%,9,4.20%
G Fraud And Forgery,5,71.40%,2,28.60%
H Criminal Damage,72,94.70%,4,5.30%
I Drugs Offences,66,95.70%,3,4.30%
J Public Order Offences,137,87.80%,19,12.20%
K All Other Offences (excluding Motoring),54,90.00%,6,10.00%
L Motoring Offences,308,91.40%,29,8.60%
Admin Finalisations,0,0.00%,10,100.00%
TOTAL,"1,084",87.50%,155,12.50%
