"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30437","36696","Direct Military Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30437","36696","Estate Advice","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30437","36696","Range Management","2.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30437","36696","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30437","36696","Soft Facilities Management","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Skill Zone 4","22372","25179","Estate Advice","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Skill Zone 4","22372","25179","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Skill Zone 4","22372","25179","Technical [Trades]","86.39","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Administrative Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Audit and Assurance","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Business Management","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Commercial Operations","2.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Commercial Strategy","1.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Decision Support","2.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","EnvironmentalManagementAssessm","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Estate Planning","1.77","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Estate Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Estates Management","8.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Housing Service Delivery","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Knowledge Info Management","2.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Legal","1.80","Law"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Performance Management","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Policy advisor","3.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Programme Management","6.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Project Management","10.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Safety,Health,Enviroment&Fire","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Secretariat & Private Office","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Soft Facilities Management","2.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Sustainable Development","0.81","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Technical [Trades]","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","57000","72907","Training Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B2","48421","60130","Administrative Support","1.00","Operational Delivery"
