Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport - air,Accommodation/Meals,Mode of transport - rail,Mode of transport - Eurostar,Mode of Transport - taxi,"PURPOSE - DETAIL - Include information on reason for type of ticket bought - eg economy, no further information required,  club class - reason it was required. (Delete from version for publishing)",Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Simon McDonald - PUS,21-22 January,2 days,Brussels,Permanent Secretaries' visit ,,,,219,,Standard class Eurostar return ticket,,£219,
Simon McDonald - PUS,1 - 4 February,,"Brunei, Thailand, Laos",Meetings with senior officials and staff,5039.63,,,,,Mutiple business and economy flgihts,,"£5,040",
Simon McDonald - PUS,23-Feb-16,1 day,Belfast,,146.69,,,,,Economy,,£147,
Simon McDonald - PUS,17-19 March,3 days,Algiers/Tunis,Meetings with senior officials and staff,262.66,,,,,Economy,,£263,
Simon Gass - Director General Political,8 - 10 January,2 days,"Muscat, Oman",Attend the Oman Privy Council meetings,1863.45,,47,,,Business (Overnight and over 10 hours journey time),,"£1,910",
Simon Gass - Director General Political,12 - 13 January,2 days,Amsterdam and Geneva,EU Political Directors' Meeting in Amsterdam then on to a meeting with the UN Syria Envoy in Geneva,560.44,,,,75.3,Economy,£186.00,£822,
Simon Gass - Director General Political,17 - 18 January,2 days,Brussels,Foreign Affairs Council,,,,301,13.25,Standard,£256.00,£570,
Simon Gass - Director General Political,20 - 21 January,2 days,"Tehran, Iran",Bilateral consultations with Iranian Deputy Foreign Minister and MFA,352.7,,19.9,,21.04,Economy,,£394,
Simon Gass - Director General Political,24 - 27 January,3 days,"Tokyo, Japan",G7 Political Directors' Meeting,4848.05,,22,,,Business (Overnight and over 10 hours journey time),£222.00,"£5,092",
Simon Gass - Director General Political,1 - 2 February,1 day,"Rome, Italy",ISIL Coalition Talks,100.66,,,,19.9,Economy,£121.00,£242,
Simon Gass - Director General Political,8 - 9 February,2 days,"Minsk, Belarus",Bilateral Consultations with Ministry of Foreign Affairs,922.48,,,,55.9,Economy,,£978,
Simon Gass - Director General Political,11 - 13 February,3 days,Munich,International Syria Support Group Meeting followed by accompanying the Foreign Secretary to the Munich Security Conference.,,,25,,82.02,RAF flight,£35.98,£143,
Simon Gass - Director General Political,23 - 25 February,2 days,Washington,Bilateral consultations with US State Dept,2845.45,,,,,Business (Overnight and straight into meetings),£123.23,"£2,969",
Simon Gass - Director General Political,26-Feb-16,1 day,Berlin,EU Political Directors' Meeting,431.41,,,,,Economy,,£431,
Simon Gass - Director General Political,29 February - 2 March,3 days,Afghanistan and Pakistan,Bilateral Consultations,3255.35,,,,,Business (In line with policy),,"£3,255",
Sir David King - Special Representative for Climate Change,16-Jan-16,3 days,"Abu Dhabi, UAE",World Future Energy Summit/Global Abu Dhabi Sustainability Week,707.65,,22,,16,Economy Return,374.49,"£1,120",
Sir David King - Special Representative for Climate Change,24-Jan-16,3 days,"Beijing, China",Climate Risk Workshop,"4,487.95",,36,,,Business Class Return - flight over ten hours in line with FCO policy,17.76,"£4,542",
Deborah Bronnert - Director General Economic and Consular,13-Jan-16,One night,Brussels,Meetings with senior officials,,,,YES,,Standard class Eurostar return ticket,,£171,
Deborah Bronnert - Director General Economic and Consular,21-Jan-16,One night,Brussels,Permanent Secretaries' visit,,,,YES,,Standard class Eurostar return ticket,,£343,
Deborah Bronnert - Director General Economic and Consular,10-Feb-16,8 hours,Cambridge,CSaP Alumni reception and dinner,,,YES,,YES,Standard class rail return ticket,,£33,
Deborah Bronnert - Director General Economic and Consular,18-Feb-16,Two nights,Brussels,February European Council,YES,,,,,Travelled RAF as part of the Prime Minister's delegation,,£7,
Deborah Bronnert - Director General Economic and Consular,07-Mar-16,One day,Brussels,Informal European Council on migration,,,,YES,,Business Premier class Eurostar return ticket (travelled as part of the Prime Minister's delegation),,£288,
Deborah Bronnert - Director General Economic and Consular,11-Mar-16,One night,Bath,Turkish-British Tatlidil,,,YES,,,Standard class rail return ticket,,£222,
Deborah Bronnert - Director General Economic and Consular,14-Mar-16,One day,Brussels,Foreign Affairs Council,YES,,,,,Travelled RAF as part of the Foreign Secretary's delegation,,£0,
Iain MacLeod - Legal Adviser,03-Feb-16,Two nights,Brussels,COJUR (Public International Law Working Group),,,6.39,144,,Economy,30.41,£181,
Iain MacLeod - Legal Adviser,06-Mar-16,Eight nights,The Hague,International Court of Justice hearings:  Marshall Islands v UK,591.42,,38.42,,106.68,Economy,2813.83,"£3,550",
Karen Pierce - Chief Operating Officer,09-Feb-16,1 day,Cardiff,"University Roadshow, Cardiff University",,,,,Drove -mileage £127.62 ,,,£128,
Karen Pierce - Chief Operating Officer,22-Feb-15,1 day,Northgate House,Meetings at Northgate House,,,,,Drove  - Mileage £62.35,,,£62,
Karen Pierce - Chief Operating Officer,01-Mar-16,1 day,Oxford,Speech at Oxford University Winter 2016 event,,,,,Drove  - Mileage £52.46,,,£52,
Karen Pierce - Chief Operating Officer,16-Mar-16,2 days,Wilton Park,Annual Directors meeting,,,,,Drove - Mileage £47.73,,,£48,
Robin Grimes - Chief Scientific Adviser,01-Feb-16,2 Days,Wales (Cardiff & Port Talbot),"Meeting with CSA Wales and Hitachi, followed by an Outreach visit to The Welding Institute (TWI) Technology Centre Port Talbot ",,,93.4,,11.8,Economy class rail fare London - Cardiff.  Transport from Cardiff to TWI Port Talbot and return provided by TWI.   One nights accommodation in hotel.,,£105,
Robin Grimes - Chief Scientific Adviser,10-Feb-16,4 Days,USA (Washington),Attend American Association for the Advancement of Science Conference 2016,2589.55,,22,,52.81,Economy class air fare LHR - Washington.  Business class overnight flight Washington - LHR for onward connection LHR - Istanbul.  Private arrangements made for accommodation.,,"£2,664",
