"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD045_SENIOR BUSINESS ANALYST","32800","44000","Senior Analyst","4.60","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD057_PLACEMENT TRAINEE/INTERNSHIP","13500","16500","IT Support Officer","2.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD069_TRAINEE IT PRACTITIONER","17100","17965","IT Practitioner","9.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD072_IT PRACTITIONER","20847","26979","IT Practitioner","56.50","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD076_SENIOR IT PRACTITIONER","26459","34241","IT Practitioner","107.10","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD082_LEAD IT PRACTITIONER","30657","41125","IT Practitioner","50.70","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD085_IT ANALYST","30657","41125","IT Practitioner","1.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD086_IT MANAGER","36721","49260","IT Practitioner","8.50","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD087_EXPERT IT PRACTITIONER","36721","49260","IT Practitioner","13.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD088_EXPERT IT ANALYST","36721","49260","IT Practitioner","9.50","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD096_IT FELLOW","43700","66125","IT Practitioner","1.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD106_Service Delivery Senior Team Member","19800","24200","IT Support Officer","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD107_Service Delivery Team Leader","23588","30525","IT Support Officer","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD111_PORTFOLIO MANAGER","35260","47300","Project Manager","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD114_PROJECT MANAGER","26350","34100","Project Manager","5.30","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD115_SENIOR PROJECT MANAGER","35260","47300","Project Manager","10.80","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD157_SENIOR FINANCE MANAGER","37105","49775","Senior Finance Manager","1.00","Finance"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD208_Programme Co-Ordination Manager","25500","33000","Programme Support Officer","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218a","RD225_BUSINESS ADMINISTRATOR","15400","18810","Programme Support Officer","2.00","Programme and Project Management (PPM)"
