,,,,,,,,,,
,,HOME OFFICE,,,,,,,,
,,Business Expenses: 1 January  - 31 March 2014,,,,,,,,
,,,,,,,,,,
Name,Position Held,Dates,Destination,Purpose,Travel,,,,Other (including hospitality given),Total cost £
,,,,,Air,Rail,Taxi/Car,Accommodation / Meals,,
Mark Sedwill,Permanent Secretary,,,,,,,,,
,,14/01/2014,Croydon,Open the refurbished Public Facing Offices,,£16.40,,,,£16.40
,,31/01/2014,Colnbrook/ Harmondsworth,Staff visit,,£6.36,,,,£6.36
,,11/02/2014,Wisbech,Meet staff / view operations,,£90.13,,,,£90.13
,,17/02/2014,Edinburgh,"Meet staff and Permanent Secretary Permanent Secretary of the 
Scottish Government",£111.58,£13.75,,£60.00,£8.50 Breakfast not included with hotel,£193.83
,,11/03/2014,Hampshire,Visit Hampshire Police,,£56.67,,,,£56.67
,,18/03/2014,Portsmouth,Staff Event,,£70.57,,,,
,,21/03/2014,Dorset,Staff Visit,,,£63.60,,,£63.60
,,31/03/14-02/04/14,USA - Washington DC,Visit to meet US counterparts,"5,604.15",,,,,"£5,604.15"
Mike Anderson,"Director General, International & Immigration Policy Group",,,,,,,,,
,,7-8/01/14,Brussels,Meeting with UK Reps,,£490.00,£28.74,£207.50,,£726.24
,,17/01/14,London,Visit Deloitte as part of Top 200 event ,,,£14.78,,,£14.78
,,20/01/14,London,Meeting with Fragomen LLP,,,£45.62,,,£45.62
,,23/01/14,Berlin,Meeting with German counterparts,£77.77,,,£71.00,,£148.77
,,11/02/14,Wisbech,Visit with Permanent Secretary,,£96.98,,£160.00,,£256.98
,,18/02/14,"Courts of Justice, The Strand",Meeting,,,£42.98,,,£42.98
,,28/02/14,Cambridge,CSaP Event,,,,£112.50,Congestion Charge £10/Car parking £18,£140.50
,,13-14/03/14,Paris,Attend GDISC Steering Group,,£576.00,£61.10,£248.33,,£885.43
,,26/03/14,Sheffield,OPRU staff event,,£25.18,£27.96,,,£53.14
,,26/27/03/14,Durham,HMPO Management Board,,£321.90,£5.00,£117.00,,£443.90
,,31/03-2/04/14 ,Washington,Permanent Secretary visit to US,4675.45,£42.64,£27.06,£356.25,,"£5,101.40"
Mike Parsons,Chief Operating Officer,,,,,,,,,
,,21/01/14,St Albans,Visit to CAST,,£20.30,,,,£20.30
,,25/02/14,Liverpool,Visit to DBS,,£12.00,,,,£12.00
Charles Farr,"Director General, OSCT",,,,,,,,,
,,13/02/14,Birmingham,,,£50.88,,,,£50.88
,,24/02/14,Saudi Arabia,,4080.75,,,,£64.80 airport parking,"£4,150.55"
,,06/03/14,Liverpool,,,£293.87,,,,£293.87
,,12/03/14,Farnborough,,,£31.97,,,,£31.97
,,18/03/14,Cheltenham,,,£81.15,,,,£81.15
,,22/03/14,Doha,,5289.25,,,,,"£5,389.25"
Charles Montgomery,"Director General, Border Force",,,,,,,,,
,,04/03/14,London,London City Airport,,£10.63,,,,£10.63
,,04/03/14,Heathrow,Visit to Customs at Heathrow,,£53.26,,,,£53.26
,,06/03/14,Irish Embassy,Meeting,,,£10.35,,,£10.35
,,13/03/14,Heathrow,Staff Visit,,£42.63,,,,£42.63
,,13/03/14,Albermarle,Meeting,,,£17.55,,,£17.55
,,14/03/14,Ernst and Young,Meeting,,,£17.55,,,£17.55
,,17/03/14,HM President,Launch of Cutter by HS,,,£43.90,,,£43.90
,,18/03/14,London,Meeting,,,£24.70,,,£24.70
,,18/03/14,London,Meeting,,,,£358.00,,£358.00
,,20/03/14,Heathrow,Staff Visit,,£42.63,,,,£42.63
,,20/03/14,London,Staff Visit,,£10.63,,,,£10.63
,,20/03/14,London,Meeting,,£15.15,,,£37.20,£52.35
,,28/03/14,Bramshill Training College,Staff Visit,,,£60.00,,,£60.00
,,31/03/14,Berlin,Meet counterparts,£550.80,,,,,£550.80
,,31/03/14,Heathrow,Staff Visit,,£42.63,,,,£42.63
,,31/03/14,London,Staff Visit,,£10.63,,,,£10.63
Kevin White,"Director General, Human Resources",,,,,,,,,
,,17/01/14,Oxford,Coaching,,£22.85,£41.00,,,£63.85
,,21/02/14,Newport,Staff Visit,,£73.00,£12.00,,,£85.00
Mary Calam,"Director General, Crime and Policing Group",,,,,,,,,
,,10/01/14,Guildford,Visit to Surrey Police HQ,,£24.37,,,,£24.37
,,21/02/14,Wakefield,Visit to West Yorks Police HQ,,£78.48,,,,£78.48
,,25/02/14,London,Meeting with Colleague,,,£21.84,,,£21.84
,,,,,,,,,,
Sarah Rapson,"Director General, UK Visas and Immigration ",,,,,,,,,
,,14/01/14,Croydon,Opening of Public Office,,£14.86,,,,£14.86
,,15/01/14,London,Odgers meeting,,,£10.60,,,£10.60
,,28/01/14,Croydon,Staff Visit,,£15.24,,,,£15.24
,,24/02/14,Sheffield,Viewpoint,,£218.56,£5.00,,,£223.56
,,25/02/14,Sheffield,Viewpoint,,£12.96,,,,£12.96
,,05/03/14,Egham,HPDS workshop,,£19.17,,,,£19.17
,,06/03/14,Egham,HPDS workshop,,,£10.00,,,£10.00
,,07/03/14,Leeds,Staff Event,,£242.48,,,,£242.48
,,17/03/14,Croydon,Viewpoint,,£13.35,,,,£13.35
,,19/03/14,Leeds,Viewpoint,,£304.50,,,,£304.50
,,25/03/14,London,Opportunity Now board,,,£10.00,,,£10.00
Mandie Campbell,"Director General, Immigration Enforcement",Nil Return,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
