Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Aug-2015,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,ARX LTD,CI005117,"51,278.78"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Aug-2015,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,ARX LTD,CI005117,"10,255.76"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,14-Aug-2015,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1331894,"56,815.90"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,14-Aug-2015,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1331894,"11,363.18"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,14-Aug-2015,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1331894,"-11,363.18"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,07-Aug-2015,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,CLOUD 2 LTD,10394,"112,262.46"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Aug-2015,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,CRAIG HAMBLING LTD,15/0128,"56,960.39"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Aug-2015,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,CRAIG HAMBLING LTD,15/0128,"37,973.60"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Aug-2015,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,CRAIG HAMBLING LTD,15/0128,"7,594.72"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Aug-2015,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,CRAIG HAMBLING LTD,15/0128,"11,392.08"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Aug-2015,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,CRAIG HAMBLING LTD,15/0128,"-7,594.72"
