Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,03/03/2011 00:00,3 - 5 Rodney Street,Fp 10'S,Nhs Business Services Authority,15688,"102,095.82"
Department of Health,Mersey Care NHS Trust,10/03/2011 00:00,Cheshire & M'Side Npfit,Rech In Rlbuh His,Royal Liverpool & Broadgreen,15716,"24,930.00"
Department of Health,Mersey Care NHS Trust,10/03/2011 00:00,Cheshire & M'Side Npfit,Rech In Rlbuh His,Royal Liverpool & Broadgreen,15716,"112,411.00"
Department of Health,Mersey Care NHS Trust,10/03/2011 00:00,Cheshire & M'Side Npfit,Rech In Rlbuh His,Royal Liverpool & Broadgreen,15716,"2,007.00"
Department of Health,Mersey Care NHS Trust,10/03/2011 00:00,It - Projects - Edms,Rech In Rlbuh His,Royal Liverpool & Broadgreen,15716,"3,175.00"
Department of Health,Mersey Care NHS Trust,11/03/2011 00:00,Acute Jnr Medics - Aintree,St1/Ct1-Spec/Core Training Yr1,St Helens & Knowsley Nhs Trust,15731,"92,433.15"
Department of Health,Mersey Care NHS Trust,11/03/2011 00:00,Acute Jnr Medics - Aintree,St1/Ct1-Spec/Core Training Yr1,St Helens & Knowsley Nhs Trust,15731,"237,566.85"
Department of Health,Mersey Care NHS Trust,22/03/2011 00:00,Research & Develop Unit,R & D Funding Schemes,South London & Maudsley Nhs Trust,15794,"30,000.00"
Department of Health,Mersey Care NHS Trust,22/03/2011 00:00,3 - 5 Rodney Street,Fp 10'S,Nhs Business Services Authority,15799,"99,199.76"
Department of Health,Mersey Care NHS Trust,22/03/2011 00:00,Finance Payroll,Payroll Recharge - Liverpool,Liverpool Pct (Commissioning),15810,"88,778.00"
Department of Health,Mersey Care NHS Trust,22/03/2011 00:00,Finance Payroll,Payroll Recharge - Liverpool,Liverpool Pct (Commissioning),15810,1.00
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Time Project,Specific Projects,Aintree University Hospital Nhs F.T,15845,"300,000.00"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,15846,"6,666.00"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Mct Legal Services,Rech In - Aint Legal,Aintree University Hospital Nhs F.T,15846,167.00
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Sandon Ward (Elm),Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,15846,"9,083.33"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,15846,"34,250.00"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Training Medical,Rech In - Aint Med Stdy Lv,Aintree University Hospital Nhs F.T,15846,(83.33)
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Primary Care,Pathology,Aintree University Hospital Nhs F.T,15846,"3,250.00"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Sandon Ward (Elm),Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,15846,166.67
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Data & Voice Networks,Rech In - Aint Phone Srvcs,Aintree University Hospital Nhs F.T,15846,"2,250.00"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Data & Voice Networks,Rech In - Aint Phone Srvcs,Aintree University Hospital Nhs F.T,15846,167.00
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Sandon Ward (Elm),Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,15846,"11,833.33"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Training Medical,Rech In - Aint Med Stdy Lv,Aintree University Hospital Nhs F.T,15846,"1,083.33"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Primary Care,Pathology,Aintree University Hospital Nhs F.T,15846,"(3,250.00)"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Nurse Directorate Management,Resuscitation Training,Aintree University Hospital Nhs F.T,15846,"(3,750.00)"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Sandon Ward (Elm),Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,15846,"(1,333.33)"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,15846,"69,298.67"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Nurse Directorate Management,Resuscitation Training,Aintree University Hospital Nhs F.T,15846,"3,750.00"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,15846,(48.67)
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Spiritual & Pastoral Care,Rech In - Aint Nurs Qualty,Aintree University Hospital Nhs F.T,15846,"1,416.67"
Department of Health,Mersey Care NHS Trust,28/03/2011 00:00,Spiritual & Pastoral Care,Rech In - Aint Nurs Qualty,Aintree University Hospital Nhs F.T,15846,(166.67)
Department of Health,Mersey Care NHS Trust,07/04/2011 00:00,Liverpool Adult Management,Salary Recharges,Liverpool Community Health Nhs Trust,15861,"39,013.57"
Department of Health,Mersey Care NHS Trust,07/04/2011 00:00,Liverpool Adult Management,Salary Recharges,Liverpool Community Health Nhs Trust,15861,(0.01)
