"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department of Health","Appointments Commission","Chief Executives Office","1","8B","45254","55945","Senior Finance Manager","1.00","Finance"
"Department of Health","Appointments Commission","Chief Executives Office","1","8B","45254","55945","Senior Operational Manager","1.00","Planning"
"Department of Health","Appointments Commission","Chief Executives Office","1","6 and 7","25528","40157","Communications Manager","1.00","Communications"
"Department of Health","Appointments Commission","Chief Executives Office","1","4 and 5","18402","27625","Executive Assistant","2.00","Operational delivery"
"Department of Health","Appointments Commission","Recruitment & Selection","2","4 and 5","18402","27625","Appointment Officers","15.30","Operational delivery"
"Department of Health","Appointments Commission","Recruitment & Selection","2","6 and 7","25528","40157","Appointment Managers","5.40","Operational delivery"
"Department of Health","Appointments Commission","Recruitment & Selection","2","2 and 3","13903","18827","Admin Support","2.00","Operational delivery"
"Department of Health","Appointments Commission","Recruitment & Selection","2","8B","45254","55945","Senior Operational Manager","2.00","Operational delivery"
"Department of Health","Appointments Commission","Recruitment & Selection","2","6 and 7","25528","40157","Induction Services Manager","1.00","Operational delivery"
"Department of Health","Appointments Commission","Recruitment & Selection","2","6 and 7","25528","40157","Knowledge Information Management Manager","1.00","Operational delivery"
"Department of Health","Appointments Commission","Outplacement Services","3","6 and 7","25528","40157","Outplacement Services Manager","2.00","Operational delivery"
