"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","7.00","21600","29100","Archive Assistant","2.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","12.00","35855","48115","Archive Manager","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","8.00","23300","31300","Customer Contact Advisor","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","11.00","30805","41410","Deputy Senior Casework Manager","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","13.00","43685","58727","Deputy Senior Investigator","4.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","12.00","35855","48115","Directorate Training Manager","0.80","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","8.00","23300","31300","Engagement Team Advisor","2.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","12.00","35855","48115","Engagement Team Manager","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","11.00","30805","41410","Executive Assistant","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","10.00","27876","37370","Exhibits Manager","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","9.00","25000","33600","Freedom Of Information Officer","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","15.00","57697","75750","Head Of Engagement","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","11.00","30805","41410","Intelligence Analyst","4.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","9.00","25000","33600","Investigation Researcher","24.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","9.00","25000","33600","Investigations Researcher","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","11.00","30805","41410","Lead Investigator","29.51","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","15.00","57697","75750","Lead Senior Investigator","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","11.00","30805","41410","Mir Disclosure Manager","2.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","11.00","30805","41410","Mir Reader Reciever","5.61","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","12.00","35855","48115","Mir Team Leader - Indexing","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","12.00","35855","48115","Mir Team Leader - Reader/receiver","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","10.00","27876","37370","Mir Team Leader Typist","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","13.00","43685","58727","Mir Team Manager","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","10.00","27876","37370","Mir Team Member - Disclosure","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","7.00","21600","29100","Mir Team Member - Indexer","2.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","10.00","27876","37370","Mir Team Member Disclosure","4.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","7.00","21600","29100","Mir Team Member Indexer","8.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","6.00","19100","25600","Mir Team Member Typist","5.81","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","15.00","57697","75750","Senior Investigator","4.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","6.00","19100","25600","Support Assistant","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","12.00","35855","48115","Training And Accreditation Coordinator","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","12.00","35855","48115","Verification Team Manager","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","10.00","27876","37370","Investigation Researcher Team Leader","4.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","14.00","52442","70473","Hillsborough Planner","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","13.00","43685","58727","Operations Team Leader","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","6.00","19100","25600","Hillsborough Support Assistant","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","9.00","25000","33600","Deputy Exhibits Manager","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","10.00","27876","37370","Hillsborough Planning Assistant","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","111-DH1","12.00","35855","48115","Senior Intelligence Analyst","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","6.00","19100","25600","Administration Assistant","5.70","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","9.00","25000","33600","Analytical Support Officer","0.81","Statisticians"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","9.00","25000","33600","Assessment Analyst","16.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","10.00","27876","37370","Casework Manager","64.13","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","8.00","23300","31300","Customer Contact Advisor","10.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","11.00","30805","41410","Deputy Senior Casework Manager","2.80","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","13.00","43685","58727","Directorate Training Manager","8.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","11.00","30805","41410","Executive Assistant","1.86","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","9.00","25000","33600","Freedom Of Information Officer","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","11.00","30805","41410","Intelligence Analyst","4.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","11.00","30805","41410","Internal Investigations Officer","2.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","12.00","35855","48115","Investigation Support Manager","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","6.00","19100","25600","Investigation Support Team Member","21.32","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","7.00","21600","29100","Investigation Support Team Member","7.73","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Operations","610-COO1","12.00","35855","48115","Investigation Support Unit Manager","5.00","Operational Delivery"
