"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Attorney General's Office","Business Support & Admin Team","AGO2","AO","21850","23800","Admin Support Officer","5.78","Operational Delivery"
"Attorney General's Office","Attorney General's Office","Business Support & Admin Team","AGO2","EO","25290","30000","Admin Support Officer","2.00","Operational Delivery"
"Attorney General's Office","Attorney General's Office","Business Support & Admin Team","AGO2","G6","61200","75200","Business Support Team Manager","1.00","Operational Delivery"
"Attorney General's Office","Attorney General's Office","Business Support & Admin Team","AGO2","HEO","29550","35000","Business Support Officer","1.00","Operational Delivery"
"Attorney General's Office","Attorney General's Office","Communications","AGO5","AO","21850","23800","Press Officer","1.00","Communications"
"Attorney General's Office","Attorney General's Office","Communications","AGO5","EO","25290","30000","FOI Officer","1.00","Communications"
"Attorney General's Office","Attorney General's Office","Communications","AGO5","G7","48400","61000","Press Officer","1.00","Communications"
"Attorney General's Office","Attorney General's Office","Communications","AGO5","HEO","29550","35000","Press Officer","1.00","Communications"
"Attorney General's Office","Attorney General's Office","Communications","AGO5","SEO","36250","43000","Press Officer","1.00","Communications"
"Attorney General's Office","Attorney General's Office","International and European Law","AGO4","G6","61200","75200","Senior Policy Adviser","3.00","Law"
"Attorney General's Office","Attorney General's Office","Policy & Superintendence","AGO5","G6","61200","75200","Senior Policy Adviser","2.00","Policy"
"Attorney General's Office","Attorney General's Office","Policy & Superintendence","AGO5","G7","48400","61000","Policy Adviser","1.00","Policy"
"Attorney General's Office","Attorney General's Office","Policy & Superintendence","AGO5","SEO","36250","43000","Policy Adviser","3.00","Policy"
"Attorney General's Office","Attorney General's Office","Private Office","AGO5","EO","25290","30000","Diary Manager","1.00","Policy"
"Attorney General's Office","Attorney General's Office","Private Office","AGO5","G6","61200","75200","Private Secretary","1.00","Policy"
"Attorney General's Office","Attorney General's Office","Private Office","AGO5","G7","48400","61000","Private Secretary","1.00","Policy"
"Attorney General's Office","Attorney General's Office","Private Office","AGO5","HEO","29550","35000","Private Secretary","1.00","Policy"
"Attorney General's Office","Attorney General's Office","Private Office","AGO5","SEO","36250","43000","Private Secretary","1.00","Policy"
"Attorney General's Office","Attorney General's Office","Public Law and Litigation","AGO3","G6","61200","75200","Senior Legal Adviser","5.20","Law"
"Attorney General's Office","Attorney General's Office","Public Law and Litigation","AGO3","G7","48400","61000","Legal Adviser","3.80","Law"
"Attorney General's Office","Attorney General's Office","Public Law and Litigation","AGO3","HEO","29550","35000","Paralegal","1.00","Law"
"Attorney General's Office","Attorney General's Office","Public Law and Litigation","AGO3","LT","28280","32320","Legal Trainee","2.00","Law"
