"Table 8 - Total Identifiable Expenditure on Services by Function, Country and Region for 2010-11",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,North East ,North West ,Yorkshire and The Humber ,East Midlands ,West Midlands ,East ,London ,South East ,South West ,England ,Scotland ,Wales ,Northern Ireland ,UK Identifiable expenditure ,OUTSIDE UK ,Total Identifiable expenditure ,Not Identifiable ,Totals 
,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m ,£m 
Economic affairs ,,,,,,,,,,,,,,,,,,
"General economic, commercial and labour affairs ",8.0,10.3,7.6,4.1,7.6,3.4, - ,4.4,5.6,51.0, - , - , - ,51.0, - ,51.0, - ,51.0
"Agriculture, forestry, fishing and hunting ",202.0,280.2,390.0,503.2,338.9,684.4,22.1,351.1,590.4,"3,362.3",2.2,0.7, - ,"3,365.2",0.3,"3,365.5", - ,"3,365.5"
of which: forestry ,3.5,4.8,4.4,4.3,4.7,4.7,1.3,7.9,8.1,43.7,1.7,0.7, - ,46.1, - ,46.1, - ,46.1
of which: market support under CAP ,129.5,186.1,318.4,448.3,274.8,601.8,8.5,285.3,427.0,"2,679.7", - , - , - ,"2,679.7", - ,"2,679.7", - ,"2,679.7"
"of which: other agriculture, food and fisheries policy ",69.0,89.3,67.2,50.6,59.4,77.9,12.3,57.9,155.3,638.9,0.5, - , - ,639.4,0.3,639.7, - ,639.7
Other industries , - , - , - , - , - , - ,2.0, - , - ,2.0, - , - , - ,2.0, - ,2.0, - ,2.0
R&D economic affairs ,0.4,0.4,0.3,0.3,0.4,0.5, - ,1.0,0.8,4.1,4.9,1.0, - ,10.0, - ,10.0, - ,10.0
Total economic affairs ,210.4,290.9,397.9,507.6,346.9,688.3,24.1,356.5,596.8,"3,419.4",7.1,1.7, - ,"3,428.2",0.3,"3,428.5", - ,"3,428.5"
,,,,,,,,,,,,,,,,,,
Environment protection ,,,,,,,,,,,,,,,,,,
Waste management ,8.1,8.7,8.9,9.2,8.8,9.8,7.0,9.2,10.7,80.4, - , - , - ,80.4, - ,80.4, - ,80.4
Waste water management ,0.5,1.3,1.0,0.8,1.0,1.1,1.4,1.6,1.0,9.7, - , - , - ,9.7, - ,9.7, - ,9.7
Pollution abatement ,1.5,3.9,4.0,3.0,3.2,3.7,6.7,6.1,3.4,35.5, - , - , - ,35.5, - ,35.5, - ,35.5
Protection of biodiversity and landscape ,15.7,31.6,27.5,19.2,21.1,29.8,8.7,32.9,61.6,248.1,0.8,0.5, - ,249.4,3.2,252.6,3.9,256.5
Environment protection n.e.c ,28.4,124.7,93.7,90.1,73.2,132.7,60.1,190.5,121.6,915.0, - ,3.0, - ,918.0,2.3,920.3, - ,920.3
Total environment protection ,54.2,170.2,135.1,122.3,107.3,177.1,83.9,240.3,198.3,"1,288.7",0.8,3.5, - ,"1,293.0",5.5,"1,298.5",3.9,"1,302.4"
,,,,,,,,,,,,,,,,,,
Housing and community amenities ,,,,,,,,,,,,,,,,,,
Community development ,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,3.6, - , - , - ,3.6, - ,3.6, - ,3.6
Water supply ,0.2,0.5,0.3,0.3,0.4,0.4,0.5,0.6,0.3,3.5, - , - , - ,3.5, - ,3.5, - ,3.5
Total housing and community amenities ,0.6,0.9,0.7,0.7,0.8,0.8,0.9,1.0,0.7,7.1, - , - , - ,7.1, - ,7.1, - ,7.1
,,,,,,,,,,,,,,,,,,
Education ,,,,,,,,,,,,,,,,,,
Pre-primary and primary eduction , - , - ,0.1,0.1,0.1,0.2, - ,0.1,0.1,0.7, - , - , - ,0.7, - ,0.7, - ,0.7
of which: primary education , - , - ,0.1,0.1,0.1,0.2, - ,0.1,0.1,0.7, - , - , - ,0.7, - ,0.7, - ,0.7
Total education , - , - ,0.1,0.1,0.1,0.2, - ,0.1,0.1,0.7, - , - , - ,0.7, - ,0.7, - ,0.7
,,,,,,,,,,,,,,,,,,
Defra Total ,265.2,462.0,533.8,630.7,455.1,866.4,108.9,597.9,795.9,"4,715.9",7.9,5.2, - ,"4,729.0",5.8,"4,734.8",3.9,"4,738.7"
