Transaction date,Transaction Amount,Merchant Name,Comments (Additional Context)
07-Jan-2013,506.00,FRANCOTYP,Franking Machine
22-Jan-2013,506.00,FRANCOTYP,Franking Machine
21-Jan-2013,507.20,FRANCOTYP,Franking Machine
08-Jan-2013,515.00,WWW.NEOPOST.CO.UK,Franking Machine
21-Jan-2013,593.82,CURRYS ONLINE,TV/DVD combination units for evidence review
23-Jan-2013,692.79,CURRYS ONLINE,TV/DVD combination units for evidence review
10-Jan-2013,898.00,CORNWALL COUNCIL,Local government service fees 
15-Jan-2013,956.00,FRANCOTYP,Franking Machine
03-Jan-2013,996.00,FRANCOTYP,Franking Machine
18-Jan-2013,997.00,FRANCOTYP,Franking Machine
21-Jan-2013,1030.00,WWW.NEOPOST.CO.UK,Franking Machine
31-Jan-2013,1030.00,WWW.NEOPOST.CO.UK,Franking Machine
