CollectionTitle,Department,New,Review,Ref,Frequency,Authority group,Data topics,Collection type,Link to return,Link to example of published data
House Building Return (P2),DCLG,0,0,002-00,quarterly,Single tier & lower tier,2,aggregate/summary,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/datacollection/formsused/,http://www.communities.gov.uk/publications/corporate/statistics/housebuildingq22010
Housing Flows Reconciliation Form (HFR),DCLG,0,0,003-00,annual,Single tier & lower tier,5,aggregate/summary,http://www.communities.gov.uk/documents/housing/pdf/141161.pdf,http://www.communities.gov.uk/publications/corporate/statistics/netsupplyhousing200910
Housing Strategy Statistical Appendix (HSSA),DCLG,0,Y,004-00,annual,Single tier & lower tier,11,aggregate/summary,http://www.communities.gov.uk/publications/housing/hssaguide200910,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/localauthorityhousing/dataforms/hssa0809/
HRA Business Plan Statistical Appendix (BPSA),DCLG,0,Y,005-00,annual,Single tier & lower tier,5,aggregate/summary,http://www.communities.gov.uk/publications/housing/bpsaguide200910,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/localauthorityhousing/dataforms/hssa0809/
Mortgage Rescue Scheme return,DCLG,0,0,007-00,quarterly,Single tier & lower tier,1,0,0,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/repossessions/
Housing Monitoring (P1B),DCLG,0,Y,008-00,annual,Single tier & lower tier,8,aggregate/summary,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/socialhousingsales/overviewsocial/,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/socialhousingsales/
Local Authority activity under the homelessness provisions of the 1996 Housing Act (P1E),DCLG,0,0,009-00,quarterly,Single tier & lower tier,6,0,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/datacollection/formsused/,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/homelessnessstatistics/publicationshomelessness/
Rough sleepers - Local Authority Form,DCLG,0,0,010-00,annual,Single tier & lower tier,2,aggregate/summary,http://www.communities.gov.uk/publications/housing/roughsleepingevaluate,http://www.communities.gov.uk/publications/corporate/statistics/roughsleepingcount2010
Count of gypsy and traveller caravans,DCLG,0,0,013-00,every 6 months,Single tier & lower tier,3,0,0,http://www.communities.gov.uk/publications/corporate/statistics/caravancountjul2010#
Housing Revenue Account Subsidy Claim form - second advance,DCLG,0,0,015-00,annual,Single tier & lower tier,5,0,0,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/housingfinance/
Housing Revenue Account Subsidy Claim form - advance final,DCLG,0,0,016-00,annual,Single tier & lower tier,5,0,0,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/housingfinance/
Housing Revenue Account Subsidy Claim form - auditor final,DCLG,0,0,017-00,annual,Single tier & lower tier,5,0,0,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/housingfinance/
Housing Revenue Account Subsidy base data forms,DCLG,0,0,018-00,annual,Single tier & lower tier,1,0,0,http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/housingfinance/
Housing Capital Receipts pooling - LOGASNet collection,DCLG,0,0,167-00,quarterly,Single tier & lower tier,1,0,0,0
Housing Capital Receipts pooling - signed paper return,DCLG,0,0,168-00,annual,Single tier & lower tier,1,0,0,0
Annual Green Belt (AGB1) return,DCLG,0,0,020-00,annual,Single tier & lower tier,1,0,0,http://www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/localplanningauthority/
PSF General Development Control statistical returns,DCLG,0,0,021-00,quarterly,Single tier & lower tier,12,0,0,http://www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/statisticsplanning/
CPS1/2 General Development Control statistical returns,DCLG,0,0,022-00,quarterly,Upper tier & single tier,5,0,0,http://www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/statisticsplanning/
County Matters Planning Fees statistical returns (FEE 2),DCLG,0,0,184-00,quarterly,Upper tier & single tier,1,0,0,0
Annual Monitoring Reports (AMR),DCLG,0,Y,024-00,annual,Single tier & lower tier,1,aggregate/summary,0,0
Revenue Summary (RS),DCLG,0,0,026-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Revenue Grants (RG),DCLG,0,0,027-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Revenue Outturn (RO),DCLG,0,0,028-00,annual,All local authorities,6,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Trading Services Return (TSR),DCLG,0,0,029-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Subjective Analysis Return (SAR),DCLG,0,0,030-00,annual,Sample of authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Business Improvement Districts Outturn (BIDO),DCLG,0,0,031-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Revenue Account budget (RA),DCLG,0,0,032-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Revenue Account Specific and Special Grants (SG),DCLG,0,0,033-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Business Improvement Districts (BID) Revenue Account,DCLG,0,0,034-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/revenueforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/revenueexpenditure/
Capital Outturn Return (COR) 1/2,DCLG,0,0,035-00,annual,All local authorities,2,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/capitalforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/capitalexpenditure/
Capital Outturn Return (COR) 3,DCLG,0,0,036-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/capitalforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/capitalexpenditure/
Capital Outturn Return (COR) 4,DCLG,0,0,037-00,annual,All local authorities,3,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/capitalforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/capitalexpenditure/
Capital Outturn Return (COR) 5: supplementary return,DCLG,0,0,038-00,annual,All local authorities,2,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/capitalforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/capitalexpenditure/
Capital Forecast Return (CFR),DCLG,0,0,039-00,annual,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/capitalforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/capitalexpenditure/
Capital Estimates Return (CER),DCLG,0,0,040-00,annual,All local authorities,4,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/capitalforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/capitalexpenditure/
Capital Payments and Receipts (CPR1 to CPR 4),DCLG,0,0,041-00,quarterly,All local authorities,4,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/capitalforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/capitalexpenditure/
