Spend over £25k - January 2017,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,06/01/2017,Contracted Inspection Costs,ISP Contracts,Prospects Learning Services Lt,821882,"£870,000.00",Inspection Services,BR1 1LT,Programme Class
Department of Education,OFSTED,23/01/2017,Managed Services,Information Services,Specialist Computer Centres,822094,"£390,096.00",ICT Support,B11 2LE,Programme Class
Department of Education,OFSTED,10/01/2017,Accommodation Service Charge,Finance and Resources,Food Standards Agency,821929,"£316,835.91",Accommodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,06/01/2017,Travel,Corporate Transactions,Redfern Travel Ltd,821887,"£296,985.14",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,23/01/2017,Managed Services,Information Services,CGI IT UK Ltd,822086,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,23/01/2017,Managed Services,Information Services,Bytes Software Services Ltd,822099,"£240,529.20",ICT Support,KT22 7TW,Admin Class
Department of Education,OFSTED,18/01/2017,Contracted Inspection Costs,ISP Contracts,Tribal Education Ltd,822040,"£162,030.00",Inspection Services,S2 4AN,Programme Class
Department of Education,OFSTED,23/01/2017,Managed Services,Information Services,Specialist Computer Centres,822093,"£153,900.00",ICT Support,B11 2LE,Programme Class
Department of Education,OFSTED,30/01/2017,Contracted Inspection Costs,Schools Development,Care Quality Commission,822171,"£148,735.20",Inspection Services,WF3 1WE,Programme Class
Department of Education,OFSTED,23/01/2017,Managed Services,Information Services,Specialist Computer Centres,822095,"£91,848.00",ICT Support,B11 2LE,Programme Class
Department of Education,OFSTED,25/01/2017,Travel,Corporate Transactions,Calder Conferences Ltd,822121,"£76,156.50",Accommodation ,LS16 6RF,Programme Class
Department of Education,OFSTED,23/01/2017,Managed Services,Information Services,CGI IT UK Ltd,822089,"£64,873.44",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,25/01/2017,Accommodation Service Charge,Finance and Resources,Dept for Communities & Local Govt,822116,"£63,363.55",Accommodation Rent and Service Charge,HP2 4XN,Admin Class
Department of Education,OFSTED,16/01/2017,Managed Services,Information Services,CACI Ltd,822020,"£61,812.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,19/01/2017,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,822055,"£60,291.52",Accommodation Rent and Service Charge,W1U 7GA,Programme Class
Department of Education,OFSTED,09/01/2017,Managed Services,Information Services,CACI Ltd,821904,"£59,820.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,17/01/2017,Accommodation Service Charge,Finance and Resources,Department for Education,822038,"£53,091.33",Accommodation Rent and Service Charge,FY5 3TA,Admin Class
Department of Education,OFSTED,27/01/2017,Accommodation Service Charge,Finance and Resources,Food Standards Agency,822156,"£50,271.99",Accommodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,13/01/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,821991,"£41,118.76",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,05/01/2017,Corporate Transactions ,Finance and Resources,Royal Bank of Scotland,107,"£39,218.63",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,27/01/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,822145,"£38,792.44",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,19/01/2017,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,822056,"£37,767.39",Accommodation Rent and Service Charge,W1U 7GA,Programme Class
Department of Education,OFSTED,20/01/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,822072,"£36,992.38",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,03/01/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,821805,"£35,754.86",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,23/01/2017,Managed Services,Information Services,XMA Limited,822096,"£29,727.07",ICT Support,NG11 7EP,Programme Class
Department of Education,OFSTED,24/01/2017,Contractor,Corporate Transactions,Government Legal Department,161229,"£26,000.00",Specialist Contractor,WC2B 4TS,Programme Class
