Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Prop Exemption Start Date,Current Property Exemption Code,Property Reference Number
"10 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2150,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",01/10/2006,RT,105117309120N
"122, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",20250,Tui Uk Ltd,"C/O  Colliers Int. Prop. Advisors Uk Llp, 12th Flr, 11 Brindley Pl, 2 Brunswick Square, Birmingham,  B1 2LP",22/10/2016,VOID,105117301220N
"124, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",16750,Cheque Centre Properties Ltd,"Mr Blair Carnegie Nimmo & Mr Geoffreyjacobs& Mr Brian Green , Kpmg Llp , St James' Square, Manchester ,  M2 6DS",02/07/2014,IN,105117301240N
"138, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",25750,Phones 4 U Ltd (In Post Admin),"Pricewaterhousecoopers Llp , Cornwall Court, 19 Cornwall Street, Birmingham,  B3 2DT",15/09/2014,IN,105117301380N
"13a, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TG",3300,Barros Trading Ltd,"1b Barque Street, Barrow In Furness, Cumbria,  LA14 2RE",27/06/2015,LB,103357200131N
"15a The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",1375,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",12/02/2006,RT,105117309190N
"166a, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DQ",2400,Harmony Windows Ltd,"184 Ainslie Street, Barrow In Furness,  LA14 5BQ",19/09/2014,RT,105457701680N
"1b, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2SF",2275,Barros Trading Ltd,"1b Barque Street, Barrow In Furness, Cumbria,  LA14 2RE",21/07/2014,LB,103357200019N
"1st 2nd & 3rd Floors, 118, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",16250,Bridsford Properties Limited,"C/O Sj Higgins, Knight'S House, 10 Knight'S Place, Twickenham,  TW2 6QT",23/06/2014,LB,104519509603N
"1st & 2nd Flrs , 189-191, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",1425,River Island Ltd,"Suite 216, 2nd Floor, Marble Arch Tower, 55 Bryanston Street, London,  W1H 7AA",29/03/2016,RT,105117301892N
"1st & 2nd Flrs Part 69, Market Street, Dalton In Furness, Cumbria, LA15 8DL",2075,P&F Estates Ltd,"115 Craven Park Road, London,  N15 6BL",27/01/2015,RT,112287600712N
"1st & 2nd Fs, 186-188, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",1375,Cumberland Building Soc.,"Cumberland House, Cooper Way, Parkhouse, Carlisle,  CA3 0JF",01/04/2000,RT,105117301862N
"23, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",47000,Game (Stores) Ltd (In Administration),"Nadine T Chambers, Pricewaterhousecoopers Llp, Waterfront Plaza, 8 Laganbank Road, Belfast,  BT1 3LR",26/03/2012,IN,105154000230N
"240, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",10000,Instant Cash Loans Ltd,"6 Bevis Marks, London,  EC3A 7BA",24/10/2016,VOID,104417302400N
"24,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",6000,Barrow Borough Council,"Streetcare, C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",31/10/2016,VOID,105119500241N
"27, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",60000,Grangehall Estates Ltd,"C/O Lee Baron Ltd , 7 Swallow Place , London,  W1B 2AG  ",23/10/2016,VOID,105154000270N
"28, Ferry Station, Barrow In Furness, Cumbria, LA14 2PP",365,Barrow Sailing Club,"C/O Mr J Clark, Hon Secretary, Barrow Sailing Club, 2 Church Villas, Promenade, Barrow In Furness,  LA14 3BN",21/10/2014,RT,103223829210N
"2nd Flr & 3 Rms 1st Flr Rear, 67, Market Street, Dalton In Furness, Cumbria, LA15 8AE",3650,Sackville Spf Iv (Gp) No.3 Limited,"Sackville Spf Iv (Gp) No.3 Limited, C/O Gbr Phoenix Beard, The Exchange , 19 Newhall Street, Birmingham,  B3 3PJ",29/06/2011,LB,112287600679N
"2nd Flr Front, 74, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",980,Fogharty & Ballantyne,"52 Strathmore Avenue, Barrow-In-Furness, Cumbria,  LA14 3DH",01/05/2002,RT,105119500745N
"50-52, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",42250,Kingswood Foundation,"C/O Kay Johnson Gee Corporate Recovery, Griffin Court, 201 Chapel Street, Manchester,  M3 5EQ",31/03/2014,IN,105154000510N
"67-69, Market Street, Dalton In Furness, Cumbria, LA15 8AE",10000,"Nat.Westminster Bank Plc,","Bilfinger Gva, Po Box 6079, Wolverhampton,  WV1 9RA",12/06/2015,LB,112287600670N
"71, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1QQ",1625,"Shaw Hadwin Coaches,","C/O The Coach & Travel Centre, Scotland Road, Carnforth,  LA5 9RQ",01/04/2016,RT,104508900710N
"87, Duke Street, Askam In Furness, Cumbria, LA16 7AD",2050,E-Property Ltd,"5 Elmhurst Close, Bushley, Hertfordshire,  WD23 2QB",07/04/2011,RT,112595600873N
