PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered Patients
1,DR. D IRWIN,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,1352
3,DR A MCCUTCHEON AND PARTNERS,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVE,BELFAST,BT4 1NS,Belfast,7133
5,DR E M CHRISTIE AND PARTNER,CASTLE MEDICAL CENTRE,35-45 CASTLEREAGH ROAD,BELFAST,BT5 5FB,Belfast,1499
6,Dr Browne & Partners,CARRYDUFF SURGERY,HILLSBOROUGH ROAD,CARRYDUFF  BELFAST,BT8 8HR,Belfast,10818
10,Dr Wilson,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,2598
13,Drs Darragh & Coogan,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,3348
14,Dr Coulter & Partners,KERRSLAND SURGERY,169 UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3HZ,Belfast,7731
15,Dr Gardner & Partners,54 HOLYWOOD ROAD,BELFAST,NULL,BT4 1NT,Belfast,5477
16,Dr Dunlop Halliday & Ross,KNOCK MEDICAL CENTRE,423B UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3LH,Belfast,5549
17,Dr Mercer & Partners,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,5428
18,Dr Hunter & Partners,BRIDGES FAMILY PRACTICE,2-6 BRYSON STREET,BELFAST,BT5 4ES,Belfast,6700
19,Drs Burke & Holmes,LINEN COURT SURGERY,336 BEERSBRIDGE ROAD,BELFAST,BT5 5DY,Belfast,3545
20,Drs Kyle & Courtney,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,2992
23,Dr Bell & Partners,HARLAND MEDICAL PRACTICE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,5197
24,Dr H McKee,THE MOUNT PRACTICE,50 CASTLEREAGH STREET,BELFAST,BT5 4NH,Belfast,3041
28,Drs Gilmer & Craig,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,3420
29,Drs Savage & McKinstry,CASTLEREAGH MEDICAL CENTRE,21 BALLYGOWAN  ROAD,BELFAST,BT5 7LH,Belfast,4975
30,Drs Baird & Stevens,EASTSIDE SURGERY,56 TEMPLEMORE AVENUE,BELFAST,BT5 4FT,Belfast,2920
31,Dr Callaghan & Partners,DUNDONALD MEDICAL CENTRE,16 CHURCH ROAD,"DUNDONALD, BELFAST",BT16 2LN,Belfast,7092
32,Dr McIlmoyle & Partners,WILLOWFIELD SURGERY,50/52 CASTLEREAGH ROAD,BELFAST,BT5 5FP,Belfast,3841
33,DR. RL MILLER AND PARTNERS,222 WOODSTOCK ROAD,BELFAST,NULL,BT6 9DL,Belfast,4502
36,Dr McComb,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,1897
37,NULL,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,6672
38,Dr Morrison,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,2001
51,NULL,CORNERSTONE MEDICAL CENTRE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,2459
52,Dr Rea & Partners,16 MCCANDLESS STREET,CRUMLIN ROAD,BELFAST,BT13 1RU,Belfast,2839
53,Dr B J Colgan,463 FALLS ROAD,BELFAST,NULL,BT12 6DD,Belfast,3089
55,Dr D O'Kane,THE HEALTH CENTRE,94-100 CRUMLIN ROAD,BELFAST,BT14 6AR,Belfast,1226
57,DR. JE CAMPBELL AND PARTNERS,THE CARRICKHILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,4894
58,DR B J FARNAN & PARTNERS,THE GROUP SURGERY,257 NORTH QUEEN STREET,BELFAST,BT15 1HS,Belfast,5800
60,DR. GE BURNS AND PARTNER,165 DUNCAIRN GARDENS,BELFAST,CO ANTRIM,BT15 2GE,Belfast,2789
61,Dr Crossin & Partners,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,9881
62,NULL,GARDINER FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,1313
63,Drs McMullan & O'Donnell,WILLOW MEDICAL PRACTICE,155 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2913
64,Drs Donaghy & Murphy,DUNVILLE HEALTH CENTRE,309 GROSVENOR ROAD,BELFAST,BT12 4LP,Belfast,4260
66,NULL,"GROVE WELLBEING CENTRE, PARKSIDE SURGERY",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6939
68,Dr Crawford & Partners,136/138 SHANKILL ROAD,BELFAST,NULL,BT13 2BD,Belfast,2611
69,Drs Tan & McGirr (1),FLAX CENTRE,ARDOYNE AVENUE,BELFAST,BT14 7DA,Belfast,3085
70,Dr Rainey & Partners,BALLYSILLAN GROUP PRACTICE,156-158 BALLYSILLAN ROAD,BELFAST,BT14 7QR,Belfast,5506
71,NULL,463 SPRINGFIELD ROAD,BELFAST,NULL,BT12 7DP,Belfast,6318
72,Dr R H McKee,MOUNTAINVIEW SURGERY,585 CRUMLIN ROAD,BELFAST,BT14 7GB,Belfast,1854
73,NULL,CRUMLIN ROAD FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"94-100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,2299
74,Drs Ryan & Simpson,DR SIMPSON & DR BEATTIE,NORTHGATE FAMILY PRACTICE,"36 DUNCAIRN GARDENS, BELFAST",BT15 2GH,Belfast,2851
75,Dr Lenfestey & Partners,GROSVENOR ROAD SURGERY,216 GROSVENOR ROAD,BELFAST,BT12 5LT,Belfast,10228
79,Dr Bready & Partners,70 SPRINGFIELD ROAD,BELFAST,CO ANTRIM,BT12 7AH,Belfast,9104
80,DR. KB SWAIN AND PARTNERS,460 OLDPARK ROAD,BELFAST,NULL,BT14 6QG,Belfast,4655
81,Dr Giles & Partners,46 SPRINGFIELD ROAD,BELFAST,NULL,BT12 7AH,Belfast,7831
83,NULL,"GROVE WELLBEING CENTRE, GROVE MEDICAL PRACTICE",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6299
84,Drs Salters & Diamond,186 FALLS ROAD,BELFAST,NULL,BT12 6AG,Belfast,3698
85,Dr MacSorley & Partners,515 ANTRIM ROAD,BELFAST,NULL,BT15 3BS,Belfast,5477
86,Dr Brown & Partners,SALISBURY MEDICAL CENTRE,474 ANTRIM ROAD,BELFAST,BT15 5GF,Belfast,10525
92,NULL,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,5010
93,Dr Sharma & Partners,61 CLIFTONVILLE ROAD,BELFAST,NULL,BT14 6JN,Belfast,5875
94,Dr Cummings & Partners,115 FALLS ROAD,BELFAST,NULL,BT12 6AA,Belfast,7029
95,Dr S J McHugh,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2666
96,NULL,MALVERN FAMILY PRACTICE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,5551
98,Drs Wilson & McClure,THE LIGONIEL HEALTH CENTRE,74A LIGONIEL ROAD,BELFAST,BT14 8BY,Belfast,3797
