Senior official or Non-Executive Director,Job title,Dates,Destination,Purpose,Air travel,Rail/Tube travel,Taxi/Car travel,Accommodation/Meals travel,Other (including hospitality given),Total cost £
Alan Cook,Non-Executive Board Member,19/07/2010,London,Official Meeting,,£37.50,,,£5.50 car park,£43.00
Alan Cook,Non-Executive Board Member,20/07/2010,London,Official Meeting,,£37.50,,,£5.50 car park,£43.00
Alan Cook,Non-Executive Board Member,22/07/2010,London,Official Meeting,,£37.50,,,£5.50 car park,£43.00
Alan Cook,Non-Executive Board Member,23/07/2010,London,Official Meeting,,£37.50,,,£5.50 car park,£43.00
Alan Cook,Non-Executive Board Member,30/07/2010,London,DfT Board,,£37.50,,,£5.50 car park,£43.00
Alan Cook,Non-Executive Board Member,21/09/2010,London,Official Meeting,,£37.50,,,£5.50 car park,£43.00
Alan Cook,Non-Executive Board Member,24/09/2010,London,DfT Board,,£37.50,,,£5.50 car park,£43.00
Andy Friend,Non-Executive Board Member,23/07/2010,London,Official Meeting,,£40.20,£6.00,,,£46.20
Andy Friend,Non-Executive Board Member,30/07/2010,London,DfT Board,,£43.40,,,,£43.40
Robert Devereux,Permanent Secretary,06/07/2010,London,Official Meeting,,,£17.80,,,£17.80
Robert Devereux,Permanent Secretary,06/07/2010,London,Official Meeting,,,£19.00,,,£19.00
Robert Devereux,Permanent Secretary,07/07/2010,London,Official Meeting,,,£18.00,,,£18.00
Robert Devereux,Permanent Secretary,20/07/2010,Hastings,Official Meeting,,£28.10,,,,£28.10
Robert Devereux,Permanent Secretary,30/07/2010,Farnborough,Official Meeting,,£18.00,,,,£18.00
Robert Devereux,Permanent Secretary,08/09/2010,London,Official Meeting,,,£4.20,,,£4.20
Robert Devereux,Permanent Secretary,10/09/2010,London,Official Meeting,,,£11.32,,,£11.32
Robert Devereux,Permanent Secretary,10/09/2010,Hastings,Official Meeting,,£23.90,,,,£23.90
Robert Devereux,Permanent Secretary,14/09/2010,London,Official Meeting,,,£4.30,,,£4.30
Robert Devereux,Permanent Secretary,30/09/2010,Bristol,Official Meeting,,£85.50,£23.20,,,£108.70
Steve Gooding,Director General Motoring & Freight Services,03/06/2010,Birmingham,ITS UK AGM,,£65.90,,,,£65.90
Steve Gooding,Director General Motoring & Freight Services,04/06/2010,London,Official Meeting,,£2.40,,,,£2.40
Steve Gooding,Director General Motoring & Freight Services,08/06/2010,London,Official Meeting,,£2.40,,,,£2.40
Steve Gooding,Director General Motoring & Freight Services,11/06/2010,Lewes,Training,,,£7.20,,,£7.20
Steve Gooding,Director General Motoring & Freight Services,24/06/2010,Nuneaton,Official Visit,,£27.40,,,,£27.40
Steve Gooding,Director General Motoring & Freight Services,06-07/07/10,London,Official Meeting,,£5.40,,,,£5.40
Steve Gooding,Director General Motoring & Freight Services,28/07/2010,Swansea,Official Meeting ,,£80.00,,£75.00,,£155.00
Steve Gooding,Director General Motoring & Freight Services,26/08/2010,West Sussex,Official Meeting,,,£18.24,,,£18.24
Steve Gooding,Director General Motoring & Freight Services,17/09/2010,London,Official Meeting,,£3.60,,,,£3.60
Steve Gooding,Director General Motoring & Freight Services,23/09/2010,Lewes,Training,,,£7.20,,,£7.20
Steve Gooding,Director General Motoring & Freight Services,29-30/09/10,Bristol,Official Meeting,,£59.90,,£85.00,,£144.90
Richard Hatfield,Director General International Network and Environment,09/08/2010,Farnborough,Official Visit ,,,£19.68 motorcycle travel,,,£19.68
Richard Hatfield,Director General International Network and Environment,12/08/2010,Southampton ,Official Visit ,,,£38.40 motorcycle travel,,,£38.40
Richard Hatfield,Director General International Network and Environment,13/08/2010,London,Official Meeting ,,,£31.47,,,£31.47
Richard Hatfield,Director General International Network and Environment,25/08/2010,Derby,Official Visit  ,,£74.00,,,,£74.00
Bronwyn Hill,Director General City and Regional Networks,26/08/2010,West Sussex ,Official Meeting ,,£23.60,,,,£23.60
Mike Mitchell,Director General National Networks,07/07/2010,London,Official Meeting,,,£19.00,,,£19.00
Mike Mitchell,Director General National Networks,05/08/2010,London,Official Meeting,,,£8.50,,,£8.50
Mike Mitchell,Director General National Networks,10/08/2010,London,Official Meeting,,,£4.80,,,£4.80
Mike Mitchell,Director General National Networks,02/09/2010,London,Official Meeting,,,£12.00,,,£12.00
Mike Mitchell,Director General National Networks,06/09/2010,London,Official Meeting,,,£24.50,,,£24.50
Mike Mitchell,Director General National Networks,16/09/2010,London,Official Dinner,,,£16.00,,,£16.00
Mike Mitchell,Director General National Networks,23/09/2010,London,Official Meeting,,,£10.50,,,£10.50
Mike Mitchell,Director General National Networks,30/09/2010,London,Official Meeting,,,£5.50,,,£5.50
Clare Moriarty,Director General Corporate Support Functions,09/07/2010,Brighton,Speaking Engagement ,,£31.40,,,,£31.40
