Title:,Estimated abstractions from all surface and groundwaters by purpose and Environment Agency region: 2000 - 2010,,,,,,,,,,
Year:,2000 to 2010,,,,,,,,,,
Geography:,"Environment Agency Regions, England and Wales",,,,,,,,,,
Units:,Ml/day,,,,,,,,,,
Source:,Environment Agency (EA),,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,
Custodian,"Sustainable Products and Procurement, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,
Release Date:,May-12,,,,,,,,,,
Notes:,(a),Increase in electricity supply abstraction [power station] in 2002,,,,,,,,,
,(b),Increased electricity supply abstraction in 2002 due to issue of two new abstraction licences,,,,,,,,,
,(c),Three licences in 2003 re-assigned to 'Other industry' from 'Electricity supply',,,,,,,,,
,(d),Reduced hydropower abstraction in 2005,,,,,,,,,
,(e),Increased hydropower abstraction in 2006,,,,,,,,,
,(f),Increase in actuals received in 2008 for Hydropower,,,,,,,,,
,(g),One licence re-assigned to 'Electricity supply' from 'Other industry' in 2008,,,,,,,,,
,(h),One new 'Electricity supply' licence issued in 2008,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Year,Public water supply,Spray irrigation,Agriculture (excl. spray irrigation),Electricity supply industry,Other industry,"Fish farming, cress growing, amenity ponds",Private water supply,Other,Total
,,,,,,,,,,,
England and Wales Total,,2000,16990,291,152,31546,5433,4709,102,559,59782
,,2001,16231,259,108,32263,4772,4657,92,108,58489
,"(a),(b)",2002,16938,248,120,35447,4883,3215,54,77,60981
,(c),2003,16920,315,132,31378,6623,3077,61,86,58593
,,2004,17210,225,122,30568,6585,4068,30,77,58885
,,2005,17370,226,60,30021,6339,3654,26,60,57757
,,2006,17004,277,48,32160,6519,3622,37,86,59752
,,2007,16381,161,72,32485,5167,3412,29,113,57820
,,2008,16241,156,38,30588,4954,2850,24,74,54925
,,2009,15799,233,43,30076,5656,2610,27,74,54520
,,2010,16373,285,68,29771,4975,2900,24,56,54452
,,,,,,,,,,,
North West,,2000,1451,4,6,7421,1074,67,0,18,10042
,,2001,1416,13,5,7219,945,89,0,16,9702
,,2002,1400,23,4,6918,779,76,0,9,9209
,,2003,1602,26,7,6970,851,112,0,10,9579
,,2004,1646,7,15,6423,808,98,0,8,9005
,,2005,1591,8,3,6957,860,56,0,8,9483
,,2006,1504,3,5,7584,896,88,0,6,10086
,,2007,1544,2,6,6920,573,41,0,5,9092
,,2008,1482,1,3,4528,550,29,0,2,6596
,,2009,1303,4,5,6741,598,22,0,4,8677
,,2010,1379,5,5,4259,544,27,1,1,6221
,,,,,,,,,,,
North East,,2000,2132,17,28,2969,769,166,6,1,6089
,,2001,2351,20,12,2830,969,388,5,1,6576
,,2002,2294,14,25,2790,1091,408,3,2,6626
,,2003,2256,21,11,2815,947,343,3,3,6399
,,2004,2231,11,9,3110,916,492,4,5,6779
,,2005,2289,15,6,2480,1004,487,4,2,6287
,,2006,2276,17,5,2317,869,419,5,3,5910
,,2007,2154,11,5,3050,836,465,5,5,6531
,,2008,2208,7,4,1435,697,480,3,6,4839
,,2009,2177,11,4,2549,803,338,4,5,5891
,,2010,2185,18,5,3224,357,383,4,5,6182
,,,,,,,,,,,
