"Body","Body Name","Posting Date","Transaction number","Amount","Supplier name","Supplier ID","Service Area","Expense Type","Expense Code","Type"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",20/03/2012,20079532,"2,023.21 ","ADB Audio Visual Limited",15228,"Information Technology","Maintenance of Computer Equipment",4532,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",01/03/2012,20079108,"3,740.00 ","Airspace Solutions.com Ltd",10029,"Central Area Sports Centre","Miscellaneous Capital Expend","C007","Capital"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",05/03/2012,20079154,"1,063.50 ","allpay.net Limited",12681,"Council Tax Collection","Giro/Allpay Charges",4448,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",05/03/2012,20079155,"848.20 ","allpay.net Limited",12681,"Council Tax Collection","Giro/Allpay Charges",4448,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",19/03/2012,20079520,"2,762.25 ","Allstar Business Solutions Ltd",15191,"Vehicles & Plant","Fuel Oil",3122,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",19/03/2012,20079522,"2,491.02 ","Allstar Business Solutions Ltd",15191,"Vehicles & Plant","Fuel Oil",3122,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",21/03/2012,20079575,"3,802.86 ","Allstar Business Solutions Ltd",15191,"Vehicles & Plant","Fuel Oil",3122,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",30/03/2012,20079781,"3,018.09 ","Allstar Business Solutions Ltd",15191,"Vehicles & Plant","Fuel Oil",3122,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",05/03/2012,20079153,"544.00 ","Anthony Collins Solicitors LLP",15010,"Household Refuse","Consultancy Services",4403,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",19/03/2012,20079513,"1,437.00 ","Anthony Collins Solicitors LLP",15010,"Democratic Services","Legal Fees",4408,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",19/03/2012,20079342,"2,571.78 ","Anthony Gell School Foundation",10059,"Wirksworth Sports Centre","Rents",2301,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",26/03/2012,20079624,"5,660.50 ","APSE",10065,"Parks & Recreation","Consultancy Services",4403,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",27/03/2012,20079662,"674.39 ","Arjo Med AB Limited",12551,"Wirksworth Sports Centre","Wirksworth Learner Pool Transfer",4880,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",30/03/2012,20079762,"1,282.20 ","ASA Awards",10081,"Ashbourne Leisure Centre","Purchases of Items for Resale",4063,"Revenue"
