Department Family,Entity,Date of Payment,,,Supplier,Transaction Number,Amount in Sterling,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,SLA Salford Royal Chem Path,Diagnostics & Clinical Support,SALFORD ROYAL NHS FOUNDATION TRUST,0001171852,"28,984.52",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,M & S Equipment,Capital,HOBART UK( WAREWASH),0001178230,"28,680.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001183866,"3,370.08",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001183866,"34,662.66",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Private Sector Waiting Lists,Surgery,BMI HEALTHCARE LTD,0001185143,"85,496.36",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Private Sector Waiting Lists,Surgery,BMI HEALTHCARE LTD,0001185152,"36,491.81",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Private Sector Waiting Lists,Surgery,BMI HEALTHCARE LTD,0001185156,"33,932.32",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Private Sector Waiting Lists,Surgery,BMI HEALTHCARE LTD,0001185677,"28,883.74",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Bld Contract Pennine Acute,Capital,BURTONWOOD GENERATOR & SWITCHGEAR LTD,0001186221,"141,736.89",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2012,Consultant Recharge,Medicine and Community,SALFORD ROYAL NHS FOUNDATION TRUST,0001186650,"32,595.50",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Laboratory Consumables,Diagnostics & Clinical Support,ROCHE DIAGNOSTICS LTD,0001186658,"54,935.55",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/11/2012,Contract Management fees,Diagnostics & Clinical Support,LLOYDS RETAIL CHEMISTS LTD,0001187628,"727,543.95",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/11/2012,Contract Management fees,Diagnostics & Clinical Support,LLOYDS RETAIL CHEMISTS LTD,0001187629,"147,750.56",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Eng Serv Contract PennineAcute,Estates and Facilities,COFELY LTD,0001187970,"24,010.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Eng Serv Contract PennineAcute,Estates and Facilities,COFELY LTD,0001187970,"8,677.92",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001188014,"691,422.28",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,SLA Central Mcr Immunology,Diagnostics & Clinical Support,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001188861,"43,048.04",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Leased Car Expenses,Corporate Services Other,N H C NHS FOUNDATION TRUST,0001188913,"12,509.50",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Leased Car Insurance,Corporate Services Other,N H C NHS FOUNDATION TRUST,0001188913,"15,165.00",,,
