Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,09/12/2010,Calorifier At Stoddart House,Building Works,Ab Engineering,16051,"34,673.87"
Department of Health,Mersey Care NHS Trust,16/12/2010,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,15380,"6,666.00"
Department of Health,Mersey Care NHS Trust,16/12/2010,Sandon Ward (Elm),Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,15380,"9,083.33"
Department of Health,Mersey Care NHS Trust,16/12/2010,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,15380,"34,250.00"
Department of Health,Mersey Care NHS Trust,16/12/2010,Data & Voice Networks,Rech In - Aint Phone Srvcs,Aintree University Hospital Nhs F.T,15380,167.00
Department of Health,Mersey Care NHS Trust,16/12/2010,Nurse Directorate Management,Resuscitation Training,Aintree University Hospital Nhs F.T,15380,"3,750.00"
Department of Health,Mersey Care NHS Trust,16/12/2010,Nurse Directorate Management,Resuscitation Training,Aintree University Hospital Nhs F.T,15380,"(3,750.00)"
Department of Health,Mersey Care NHS Trust,16/12/2010,Sandon Ward (Elm),Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,15380,"(1,333.33)"
Department of Health,Mersey Care NHS Trust,16/12/2010,Spiritual & Pastoral Care,Rech In - Aint Nurs Qualty,Aintree University Hospital Nhs F.T,15380,"1,416.67"
Department of Health,Mersey Care NHS Trust,16/12/2010,Data & Voice Networks,Rech In - Aint Phone Srvcs,Aintree University Hospital Nhs F.T,15380,"2,250.00"
Department of Health,Mersey Care NHS Trust,16/12/2010,Primary Care,Pathology,Aintree University Hospital Nhs F.T,15380,"3,250.00"
Department of Health,Mersey Care NHS Trust,16/12/2010,Primary Care,Pathology,Aintree University Hospital Nhs F.T,15380,"(3,250.00)"
Department of Health,Mersey Care NHS Trust,16/12/2010,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,15380,"69,298.67"
Department of Health,Mersey Care NHS Trust,16/12/2010,Aintree Facilities,Rech Out-Liver Pct Pharmacy,Aintree University Hospital Nhs F.T,15380,"69,250.00"
Department of Health,Mersey Care NHS Trust,16/12/2010,Training Medical,Rech In - Aint Med Stdy Lv,Aintree University Hospital Nhs F.T,15380,"1,083.33"
Department of Health,Mersey Care NHS Trust,16/12/2010,Training Medical,Rech In - Aint Med Stdy Lv,Aintree University Hospital Nhs F.T,15380,(83.33)
Department of Health,Mersey Care NHS Trust,16/12/2010,Mct Legal Services,Rech In - Aint Legal,Aintree University Hospital Nhs F.T,15380,167.00
Department of Health,Mersey Care NHS Trust,16/12/2010,Sandon Ward (Elm),Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,15380,"11,833.33"
Department of Health,Mersey Care NHS Trust,16/12/2010,Sandon Ward (Elm),Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,15380,166.67
Department of Health,Mersey Care NHS Trust,16/12/2010,Spiritual & Pastoral Care,Rech In - Aint Nurs Qualty,Aintree University Hospital Nhs F.T,15380,(166.67)
Department of Health,Mersey Care NHS Trust,16/12/2010,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,15380,"(69,298.67)"
Department of Health,Mersey Care NHS Trust,02/12/2010,It Service Modernisation,Telephone Instal'N,Bt Inet,15982,"41,338.82"
Department of Health,Mersey Care NHS Trust,31/12/2010,Cheshire & M'Side Npfit,Software Licence,Foursys Ltd,402419,"25,324.00"
Department of Health,Mersey Care NHS Trust,22/12/2010,It - Projects - Edms,Computer Purchase (Desktop),Hewlett Packard Ltd,403617,"46,929.00"
