OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14050690,191526,A & E Fire Equipment Limited,C1107-CAH015,Building Works,11/08/2017,"1,694.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14054591,195789,A & E Fire Equipment Limited,R2008-REC111,R & M of Build - Reactive Repairs,04/08/2017,720.73 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14054459,195791,A & E Fire Equipment Limited,R2008-REC111,R & M of Build - Reactive Repairs,04/08/2017,683.73 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14054684,196725,A & E Fire Equipment Limited,C1107-CAH015,Building Works,04/08/2017,"1,068.80 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14054787,196960,A & E Fire Equipment Limited,R2083-HRA110,R&M of Build - Routine,25/08/2017,860.49 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14053348,1031203,A1 Maintenance (Stroud) Limited,R2023-HRA100,R & M of Build Commercial Properties,11/08/2017,"1,849.50 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14054646,1032232,A1 Maintenance (Stroud) Limited,R2004-REC111,R & M of Build Programmed,04/08/2017,845.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14054617,1032416,A1 Maintenance (Stroud) Limited,R2004-REC111,R & M of Build Programmed,04/08/2017,"5,030.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Gloucestershire Airport,14054945,2094598,Alixpartners Services UK LLP,R4400-AIR101,Services - Professional Fees,18/08/2017,"30,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Tour of Britain,14054631,I17070113A,Alpha Papa Tango Limited,R4014-TOU003,Marketing,11/08/2017,"4,500.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Corporate Policy Making,14055150,30176,Alpha Response Print & Mail Limited,R4300-COR003,Printing - Services,25/08/2017,"1,272.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Registration of Electors,14055149,30186,Alpha Response Print & Mail Limited,R4300-ELE001,Printing - Services,25/08/2017,"6,812.44 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Municipal Offices,14054231,3740102,Angel Springs Limited (Waterlogic),R2083-ADB101,R&M of Build - Routine,25/08/2017,"3,398.85 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cemetery & Crematorium Repairs & Maintenance,14054692,ATI030717,ATI Environment UK Limited,R2083-CCM111,R&M of Build - Routine,11/08/2017,"7,200.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14054628,INV312824,Attwaters Jameson Hill Solicitors,R4400-PLP101,Services - Professional Fees,04/08/2017,"11,375.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14054628,INV312824,Attwaters Jameson Hill Solicitors,R4400-PLP101,Services - Professional Fees,04/08/2017,905.10 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Lift Refurbishment,14054732,NV177274,Axis Elevators Limited,C1107-CAH011,Building Works,11/08/2017,"5,259.80 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14054910,1561,Beard & Tandy Developments Limited,R2004-FIE040,R & M of Build Programmed,25/08/2017,912.47 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14054782,P4005/5669,Bersche-Rolt Limited,C1107-CAH003,Building Works,11/08/2017,"31,537.76 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14054782,P4005/5669,Bersche-Rolt Limited,C1107-CAH003,Building Works,11/08/2017,"-31,537.76 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14054782,P4005/5669,Bersche-Rolt Limited,C1107-CAH003,Building Works,11/08/2017,"31,537.76 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14055158,P4005/5702,Bersche-Rolt Limited,C1107-CAH003,Building Works,25/08/2017,"56,945.37 ",,
