PCO11CD,PCO11CDO,PCO11NM,FID
E16000108,5P6,West Sussex,1
E16000109,5P7,East Sussex Downs and Weald,2
E16000110,5P8,Hastings and Rother,3
E16000111,5P9,West Kent,4
E16000112,5PA,Leicestershire County and Rutland,5
E16000113,5PC,Leicester City,6
E16000114,5PD,Northamptonshire Teaching,7
E16000115,5PE,Dudley,8
E16000116,5PF,Sandwell,9
E16000117,5PG,Birmingham East and North,10
E16000118,5PH,North Staffordshire,11
E16000119,5PJ,Stoke on Trent,12
E16000120,5PK,South Staffordshire,13
E16000121,5PL,Worcestershire,14
E16000122,5PM,Warwickshire,15
E16000123,5PN,Peterborough,16
E16000124,5PP,Cambridgeshire,17
E16000125,5PQ,Norfolk,18
E16000126,5PR,Great Yarmouth and Waveney,19
E16000127,5PT,Suffolk,20
E16000128,5PV,West Essex,21
E16000129,5PW,North East Essex,22
E16000130,5PX,Mid Essex,23
E16000131,5PY,South West Essex,24
E16000132,5QA,Eastern and Coastal Kent,25
E16000133,5QC,Hampshire,26
E16000134,5QD,Buckinghamshire,27
E16000135,5QE,Oxfordshire,28
E16000136,5QF,Berkshire West,29
E16000137,5QG,Berkshire East,30
E16000138,5QH,Gloucestershire,31
E16000139,5QJ,Bristol,32
E16000140,5QK,Wiltshire,33
E16000141,5QL,Somerset,34
E16000142,5QM,Dorset,35
E16000143,5QN,Bournemouth and Poole Teaching,36
E16000144,5QP,Cornwall and Isles of Scilly,37
E16000145,5QQ,Devon,38
E16000146,5QR,Redcar and Cleveland,39
E16000147,5QT,Isle of Wight National Health Service,40
E16000148,5HQ,Bolton Teaching,41
E16000149,5NT,Manchester Teaching,42
E16000150,5QV,Hertfordshire,43
E16000151,5QW,Solihull,44
E17000001,TAC,Northumberland,45
E17000002,TAK,Bexley,46
E17000003,TAL,Torbay,47
E17000005,TAN,North East Lincolnshire,48
E17000006,TAP,Blackburn with Darwen Teaching,49
E16000054,5L1,Southampton City,50
E16000055,5L3,Medway,51
E16000056,5LA,Kensington and Chelsea,52
E16000057,5LC,Westminster,53
E16000058,5LD,Lambeth,54
E16000059,5LE,Southwark,55
E16000060,5LF,Lewisham,56
E16000061,5LG,Wandsworth,57
E16000062,5LH,Tameside and Glossop,58
E16000063,5LQ,Brighton and Hove City,59
E16000064,5M1,South Birmingham,60
E16000065,5M2,Shropshire County,61
E16000066,5M3,Walsall Teaching,62
E16000067,5M6,Richmond and Twickenham,63
E16000068,5M7,Sutton and Merton,64
E16000069,5M8,North Somerset,65
E16000070,5MD,Coventry Teaching,66
E16000071,5MK,Telford and Wrekin,67
E16000072,5MV,Wolverhampton City,68
E16000073,5MX,Heart of Birmingham Teaching,69
E16000074,5N1,Leeds,70
E16000075,5N2,Kirklees,71
E16000076,5N3,Wakefield District,72
E16000077,5N4,Sheffield,73
E16000078,5N5,Doncaster,74
E16000079,5N6,Derbyshire County,75
E16000080,5N7,Derby City,76
E16000081,5N8,Nottinghamshire County Teaching,77
E16000082,5N9,Lincolnshire Teaching,78
E16000083,5NA,Redbridge,79
E16000084,5NC,Waltham Forest,80
E16000085,5ND,County Durham,81
E16000086,5NE,Cumbria Teaching,82
E16000087,5NF,North Lancashire Teaching,83
E16000088,5NG,Central Lancashire,84
E16000089,5NH,East Lancashire Teaching,85
E16000090,5NJ,Sefton,86
E16000091,5NK,Wirral,87
E16000092,5NL,Liverpool,88
E16000093,5NM,Halton and St Helens,89
E16000094,5NN,Western Cheshire,90
E16000095,5NP,Central and Eastern Cheshire,91
E16000096,5NQ,"Heywood, Middleton and Rochdale",92
E16000097,5NR,Trafford,93
E16000099,5NV,North Yorkshire and York,94
E16000100,5NW,East Riding of Yorkshire,95
E16000101,5NX,Hull Teaching,96
E16000102,5NY,Bradford and Airedale Teaching,97
E16000103,5P1,South East Essex,98
E16000104,5P2,Bedfordshire,99
E16000107,5P5,Surrey,100
E16000001,5A3,South Gloucestershire,101
E16000002,5A4,Havering,102
E16000003,5A5,Kingston,103
E16000004,5A7,Bromley,104
E16000005,5A8,Greenwich Teaching,105
E16000006,5A9,Barnet,106
E16000007,5AT,Hillingdon,107
E16000008,5C1,Enfield,108
E16000009,5C2,Barking and Dagenham,109
E16000010,5C3,City and Hackney Teaching,110
E16000011,5C4,Tower Hamlets,111
E16000012,5C5,Newham,112
E16000013,5C9,Haringey Teaching,113
E16000015,5CN,Herefordshire,114
E16000016,5CQ,Milton Keynes,115
E16000017,5D7,Newcastle,116
E16000018,5D8,North Tyneside,117
E16000019,5D9,Hartlepool,118
E16000020,5E1,Stockton-on-Tees Teaching,119
E16000021,5EF,North Lincolnshire,120
E16000022,5EM,Nottingham City,121
E16000023,5ET,Bassetlaw,122
E16000024,5F1,Plymouth Teaching,123
E16000025,5F5,Salford,124
E16000026,5F7,Stockport,125
E16000027,5FE,Portsmouth City Teaching,126
E16000028,5FL,Bath and North East Somerset,127
E16000029,5GC,Luton,128
E16000030,5H1,Hammersmith and Fulham,129
E16000031,5H8,Rotherham,130
E16000032,5HG,"Ashton, Leigh and Wigan",131
E16000033,5HP,Blackpool,132
E16000035,5HX,Ealing,133
E16000036,5HY,Hounslow,134
E16000037,5J2,Warrington,135
E16000038,5J4,Knowsley,136
E16000039,5J5,Oldham,137
E16000040,5J6,Calderdale,138
E16000041,5J9,Darlington,139
E16000042,5JE,Barnsley,140
E16000043,5JX,Bury,141
E16000044,5K3,Swindon,142
E16000045,5K5,Brent Teaching,143
E16000046,5K6,Harrow,144
E16000047,5K7,Camden,145
E16000048,5K8,Islington,146
E16000049,5K9,Croydon,147
E16000050,5KF,Gateshead,148
E16000051,5KG,South Tyneside,149
E16000052,5KL,Sunderland Teaching,150
E16000053,5KM,Middlesbrough,151
